axis,value,j_physical,burned,out_min,fs_frac,sec
baseline,-,0.43321,1437,-1,0.0,7.1
rcap,0.015,0.4541,1613,-1,0.0,7.2
rcap,0.02,0.43523,1494,-1,0.0,7.4
rcap,0.05,0.01964,12,34.0,0.0,2.5
rcap,0.1,0.01963,12,34.0,0.0,2.6
N,1,0.43568,1712,-1,0.0,7.6
N,2,0.42915,1428,-1,0.0,7.3
N,8,0.43554,1437,-1,0.0,7.9
nign,2,0.01209,7,34.0,0.0,2.2
nign,6,0.54801,3193,-1,0.0,8.1
nign,12,0.58863,3556,-1,0.0,8.0
J_TH,0.15,0.43321,1437,-1,0.0,7.6
J_TH,0.6,0.43321,1437,-1,0.0,8.1
eta,0.3,0.43321,1437,-1,0.0,8.3
eta,0.9,0.43086,1351,-1,1.0,7.1
tau,0.15,0.43321,1437,-1,0.0,7.3
tau,0.7,0.44031,1446,-1,0.0,7.9
rho,0.7,0.43321,1437,-1,0.0,7.2
rho,0.99,0.43321,1437,-1,0.0,6.8
horizon,5.0,0.43321,1437,-1,0.0,5.5
horizon,45.0,0.43279,1478,-1,0.0,10.3
cycle,8.0,0.43648,1527,-1,0.0,3.3
wb,0.5,0.34444,1437,-1,0.0,7.4
wb,2.0,0.54416,1437,-1,0.0,7.2
wa,0.5,0.43802,1437,-1,0.0,9.1
wa,2.0,0.42718,1437,-1,0.0,8.3
wp,0.5,0.51715,1437,-1,0.0,9.8
wp,2.0,0.32827,1437,-1,0.0,9.1
