config,centralized,adaptive,rule_base,n_regions,nx,ny,seed,burned_ha,j_total,j_phys,cycles,seconds,lat_median_ms,lat_p90_ms,lat_max_ms,duty_median,missed,missed_rate,ante_median,rules_median
A_distributed_open,0,1,seed,1,80,60,201,323.46,0.404896,0.423253,15,10.7,692.24,752.26,874.36,0.00096144,0,0.0,69.0,41.0
B_centralized_closed,1,0,catalogue,1,80,60,201,320.13,0.385061,0.399272,15,5.6,332.61,348.83,350.22,0.00046196,0,0.0,15625.0,3125.0
C_centralized_open,1,1,seed,1,80,60,201,323.46,0.404896,0.423253,15,10.5,696.59,725.87,847.52,0.00096749,0,0.0,69.0,41.0
D_centralized_seedonly,1,0,seed,1,80,60,201,324.81,0.403031,0.421408,15,5.3,314.59,323.84,327.35,0.00043693,0,0.0,67.0,40.0
A_distributed_open,0,1,seed,2,80,60,201,323.28,0.393241,0.410244,15,10.8,654.35,758.08,806.46,0.00090882,0,0.0,71.0,42.0
B_centralized_closed,1,0,catalogue,2,80,60,201,314.73,0.379115,0.392452,15,6.8,397.62,425.75,500.81,0.00055225,0,0.0,31250.0,6250.0
C_centralized_open,1,1,seed,2,80,60,201,323.28,0.393241,0.410244,15,10.2,632.23,719.11,733.77,0.0008781,0,0.0,142.0,84.0
D_centralized_seedonly,1,0,seed,2,80,60,201,319.68,0.40529,0.424282,15,5.6,332.73,378.9,387.13,0.00046212,0,0.0,134.0,80.0
A_distributed_open,0,1,seed,4,80,60,201,323.55,0.404146,0.422679,15,12.0,719.76,860.08,990.6,0.00099967,0,0.0,71.0,42.0
B_centralized_closed,1,0,catalogue,4,80,60,201,301.77,0.341811,0.349513,15,7.1,418.94,463.86,544.87,0.00058186,0,0.0,62500.0,12500.0
C_centralized_open,1,1,seed,4,80,60,201,323.55,0.404146,0.422679,15,12.7,770.86,921.24,1013.72,0.00107065,0,0.0,284.0,168.0
D_centralized_seedonly,1,0,seed,4,80,60,201,322.83,0.401214,0.419473,15,5.6,319.95,352.17,408.5,0.00044438,0,0.0,268.0,160.0
A_distributed_open,0,1,seed,8,120,90,201,468.99,0.259155,0.254167,15,16.6,1038.55,1416.44,1463.88,0.00144243,0,0.0,69.0,41.0
B_centralized_closed,1,0,catalogue,8,120,90,201,492.57,0.27381,0.270915,16,13.0,776.65,808.94,832.2,0.00107868,0,0.0,125000.0,25000.0
C_centralized_open,1,1,seed,8,120,90,201,468.99,0.259155,0.254167,15,16.3,988.24,1307.17,1489.82,0.00137256,0,0.0,552.0,328.0
D_centralized_seedonly,1,0,seed,8,120,90,201,559.62,0.28347,0.285494,20,10.6,555.58,606.27,645.93,0.00077164,0,0.0,536.0,320.0
A_distributed_open,0,1,seed,16,160,120,201,129.24,0.100977,0.053947,15,28.0,1786.57,1848.45,2060.97,0.00248135,0,0.0,71.0,42.0
B_centralized_closed,1,0,catalogue,16,160,120,201,127.71,0.107222,0.054014,15,18.8,1145.37,1204.61,1238.21,0.0015908,0,0.0,250000.0,50000.0
