config,centralized,adaptive,rule_base,n_regions,nx,ny,seed,burned_ha,j_total,j_phys,cycles,seconds,lat_median_ms,lat_p90_ms,lat_max_ms,duty_median,missed,missed_rate,ante_median,rules_median
A_distributed_open,0,1,seed,1,80,60,201,335.25,0.44507,0.458817,0,13.7,,,,,,,,
A_distributed_open,0,1,seed,1,80,60,202,155.88,0.2122,0.190994,0,17.0,,,,,,,,
A_distributed_open,0,1,seed,1,80,60,203,185.58,0.223166,0.206636,0,15.0,,,,,,,,
B_centralized_closed,1,0,catalogue,1,80,60,201,329.31,0.414628,0.422622,0,7.6,,,,,,,,
B_centralized_closed,1,0,catalogue,1,80,60,202,97.02,0.179438,0.147989,0,7.6,,,,,,,,
B_centralized_closed,1,0,catalogue,1,80,60,203,173.34,0.205889,0.183112,0,7.5,,,,,,,,
C_centralized_open,1,1,seed,1,80,60,201,335.25,0.44507,0.458817,0,13.7,,,,,,,,
C_centralized_open,1,1,seed,1,80,60,202,155.88,0.2122,0.190994,0,16.7,,,,,,,,
C_centralized_open,1,1,seed,1,80,60,203,185.58,0.223166,0.206636,0,15.3,,,,,,,,
A_distributed_open,0,1,seed,4,80,60,201,333.45,0.439675,0.452975,0,15.9,,,,,,,,
A_distributed_open,0,1,seed,4,80,60,202,92.97,0.179525,0.149016,0,15.7,,,,,,,,
A_distributed_open,0,1,seed,4,80,60,203,168.12,0.200133,0.178317,0,16.4,,,,,,,,
B_centralized_closed,1,0,catalogue,4,80,60,201,323.28,0.39554,0.400791,0,8.9,,,,,,,,
B_centralized_closed,1,0,catalogue,4,80,60,202,134.46,0.214801,0.188117,0,9.2,,,,,,,,
B_centralized_closed,1,0,catalogue,4,80,60,203,180.18,0.222081,0.202354,0,9.5,,,,,,,,
C_centralized_open,1,1,seed,4,80,60,201,333.45,0.439675,0.452975,0,17.4,,,,,,,,
C_centralized_open,1,1,seed,4,80,60,202,92.97,0.179525,0.149016,0,16.1,,,,,,,,
C_centralized_open,1,1,seed,4,80,60,203,168.12,0.200133,0.178317,0,17.0,,,,,,,,
A_distributed_open,0,1,seed,16,160,120,201,183.87,0.116459,0.072556,0,40.5,,,,,,,,
A_distributed_open,0,1,seed,16,160,120,202,577.26,0.196321,0.170697,0,41.5,,,,,,,,
A_distributed_open,0,1,seed,16,160,120,203,675.9,0.219927,0.176383,0,41.9,,,,,,,,
B_centralized_closed,1,0,catalogue,16,160,120,201,181.71,0.124194,0.072835,0,27.9,,,,,,,,
B_centralized_closed,1,0,catalogue,16,160,120,201,181.71,0.124194,0.072835,0,27.8,,,,,,,,
B_centralized_closed,1,0,catalogue,16,160,120,202,542.7,0.197823,0.171862,0,34.5,,,,,,,,
B_centralized_closed,1,0,catalogue,16,160,120,203,868.32,0.246457,0.229385,0,36.3,,,,,,,,
C_centralized_open,1,1,seed,16,160,120,201,183.87,0.116459,0.072556,0,42.1,,,,,,,,
C_centralized_open,1,1,seed,16,160,120,202,577.26,0.196321,0.170697,0,42.2,,,,,,,,
C_centralized_open,1,1,seed,16,160,120,203,675.9,0.219927,0.176383,0,42.3,,,,,,,,
