seed,nx,ny,cells,regions,cycles,cycle_ms_med,cycle_ms_p90,cycle_ms_max,first_order_min,run_wall_s
201,80,60,4800,4,30,711.6,999.5,1251.4,2.0,23.4
202,80,60,4800,4,31,257.4,757.5,1275.5,2.0,12.9
203,80,60,4800,4,30,270.1,290.7,1116.0,2.0,11.0
204,80,60,4800,4,30,704.3,1221.4,1367.2,2.0,24.2
205,80,60,4800,4,30,270.3,859.5,1205.1,2.0,15.0
206,80,60,4800,4,30,249.8,958.9,1278.7,2.0,12.6
207,80,60,4800,4,30,282.8,818.8,1319.1,2.0,14.8
208,80,60,4800,4,30,758.9,1181.2,1781.2,2.0,22.8
209,80,60,4800,4,31,275.9,1005.5,1355.2,2.0,16.4
210,80,60,4800,4,30,271.8,331.0,1041.2,2.0,11.4
