seed,nx,ny,cells,regions,cycles,cycle_ms_med,cycle_ms_p90,cycle_ms_max,first_order_min,run_wall_s,axis
201,80,60,4800,4,30,698.5,1000.0,1217.8,2.0,23.7,grid
202,80,60,4800,4,31,256.9,743.2,1250.5,2.0,12.8,grid
203,80,60,4800,4,30,264.3,286.6,1058.7,2.0,10.9,grid
201,120,90,10800,4,30,1153.7,1787.0,1813.3,2.0,32.9,grid
202,120,90,10800,4,30,461.3,1164.6,1903.1,2.0,22.3,grid
203,120,90,10800,4,30,367.6,394.9,1653.2,2.0,14.6,grid
201,160,120,19200,4,30,759.1,2145.3,3504.4,2.0,43.2,grid
202,160,120,19200,4,30,1823.2,2740.6,3330.3,2.0,54.1,grid
203,160,120,19200,4,30,1905.1,2723.8,4740.1,2.0,59.8,grid
201,80,60,4800,1,31,895.1,1016.2,1261.0,2.0,26.2,regions
202,80,60,4800,1,30,246.0,254.7,909.0,2.0,9.7,regions
203,80,60,4800,1,30,249.3,256.6,1048.4,2.0,10.1,regions
201,80,60,4800,2,30,689.3,945.9,1066.3,2.0,22.2,regions
202,80,60,4800,2,30,252.1,267.7,963.3,2.0,10.0,regions
203,80,60,4800,2,30,257.4,266.3,967.8,2.0,10.3,regions
201,80,60,4800,4,30,743.8,1059.6,1251.5,2.0,24.3,regions
202,80,60,4800,4,31,258.5,824.1,1335.7,2.0,13.2,regions
203,80,60,4800,4,30,265.7,289.5,1168.0,2.0,10.9,regions
201,80,60,4800,8,30,638.3,964.2,1220.9,2.0,22.6,regions
202,80,60,4800,8,31,274.4,342.4,1333.2,2.0,12.7,regions
203,80,60,4800,8,30,277.3,330.0,1145.7,2.0,11.8,regions
201,80,60,4800,16,30,883.1,1203.3,1292.2,2.0,26.5,regions
202,80,60,4800,16,30,318.9,336.6,1277.4,2.0,12.7,regions
203,80,60,4800,16,30,306.5,326.2,1235.1,2.0,12.1,regions
