rule,channel,n,mean_step,net
A1,asset_protection,7,0.017,0.118
A1,evacuation,13,0.031,0.401
A17,evacuation,2,0.0,0.0
A17,suppression_effort,2,0.0,0.0
A19,asset_protection,3,0.05,0.15
A19,resource_deployment,3,0.05,0.15
A5,asset_protection,17,-0.015,-0.25
A5,evacuation,17,-0.015,-0.25
A6,asset_protection,3,0.017,0.05
A6,evacuation,3,0.017,0.05
A7,asset_protection,12,0.021,0.252
A7,evacuation,14,0.027,0.384
G18,retardant_drop,1,0.05,0.05
G18,suppression_effort,1,0.05,0.05
G18,water_drafting,1,0.05,0.05
G27,containment_line,12,0.017,0.2
G27,retardant_drop,12,0.017,0.2
G33,containment_line,9,-0.017,-0.15
G33,suppression_effort,9,-0.017,-0.15
G33,water_drafting,9,-0.017,-0.15
G5,asset_protection,78,0.006,0.5
G5,downwind_retardant_shield,74,0.004,0.3
G5,resource_deployment,78,0.006,0.5
R26,containment_line,1,0.1,0.1
R26,resource_deployment,1,0.1,0.1
R26,retardant_drop,1,0.15,0.15
