arm,seed,horizon_min,patience,earliest,cycles,diagnosed,diag_share,stage3_attempts,accepted,rule,concept,composite,clause,clause_accepted,rej_G1,rej_G2,rej_G3,rej_G4G5,rej_G5b,rej_other,genai_retired,burned_ha,j_total,seconds
on,201,24.0,8,0,20,18,0.9,3,2,2,0,0,1,1,0,0,1,0,0,0,0,331.83,0.432232,87.9
off,201,24.0,8,0,25,0,0.0,3,2,2,0,0,1,1,0,0,0,1,0,0,0,329.94,0.419901,60.7
on,202,24.0,8,0,20,18,0.9,3,2,0,1,1,1,0,0,0,0,1,0,0,0,116.46,0.182446,108.5
off,202,24.0,8,0,20,0,0.0,4,2,1,1,0,2,0,0,0,0,2,0,0,0,100.62,0.177093,108.2
on,203,24.0,8,0,20,18,0.9,3,2,0,1,0,2,1,0,0,0,1,0,0,0,163.98,0.199019,106.6
off,203,24.0,8,0,20,0,0.0,4,2,1,1,0,2,1,0,0,0,2,0,0,0,187.02,0.22499,118.2
on,204,24.0,8,0,20,18,0.9,4,3,3,0,0,1,1,0,0,1,0,0,0,0,282.78,0.432661,73.1
off,204,24.0,8,0,20,0,0.0,3,1,2,0,0,1,1,0,0,2,0,0,0,0,288.54,0.429848,58.0
on,205,24.0,8,0,20,18,0.9,4,2,0,2,0,2,1,0,0,0,2,0,0,0,174.42,0.22624,130.7
off,205,24.0,8,0,20,0,0.0,4,1,2,1,0,1,0,0,0,2,1,0,0,0,180.09,0.228158,94.2
