arm,seed,horizon_min,cycles,diagnosed,diag_share,stage3_attempts,accepted,rule,concept,composite,clause,clause_accepted,rej_G1,rej_G2,rej_G3,rej_G4G5,rej_other,genai_retired,burned_ha,j_total,seconds
on,201,60.0,20,18,0.9,3,1,0,2,0,1,0,0,0,0,2,0,0,334.98,0.447386,43.5
off,201,60.0,20,0,0.0,3,0,0,2,0,1,0,0,0,0,3,0,1,334.08,0.445323,52.7
on,202,60.0,20,18,0.9,3,0,0,2,0,1,0,0,0,0,3,0,1,82.17,0.164315,74.4
off,202,60.0,20,0,0.0,3,0,1,1,0,1,0,0,0,1,2,0,1,82.17,0.164315,57.2
on,203,60.0,20,18,0.9,3,0,0,2,0,1,0,0,0,0,3,0,1,175.32,0.209062,56.8
off,203,60.0,20,0,0.0,3,0,0,2,0,1,0,0,0,0,3,0,1,175.32,0.209062,55.1
on,204,60.0,20,18,0.9,3,1,1,1,0,1,0,0,0,0,2,0,0,285.39,0.443442,57.7
off,204,60.0,25,0,0.0,9,3,6,2,0,1,0,0,0,5,1,0,1,244.8,0.403487,115.6
on,205,60.0,20,18,0.9,3,1,1,1,0,1,0,0,0,1,1,0,0,182.52,0.231184,69.4
off,205,60.0,20,0,0.0,3,1,0,2,0,1,0,0,0,0,2,0,0,172.53,0.229484,59.2
