arm,seed,horizon_min,patience,earliest,cycles,diagnosed,diag_share,stage3_attempts,accepted,rule,concept,composite,clause,clause_accepted,rej_G1,rej_G2,rej_G3,rej_G4G5,rej_other,genai_retired,burned_ha,j_total,seconds
on,201,24.0,8,0,29,19,0.655,6,3,3,2,0,1,1,0,0,1,2,0,0,334.08,0.437942,128.8
off,201,24.0,8,0,20,0,0.0,3,1,2,0,0,1,1,0,0,2,0,0,0,266.76,0.335362,61.5
on,205,24.0,8,0,20,18,0.9,4,0,2,0,0,2,0,0,0,2,2,0,0,163.62,0.229793,88.6
off,205,24.0,8,0,20,0,0.0,3,1,0,2,0,1,0,0,0,0,2,0,0,198.72,0.246336,84.6
on,202,24.0,8,0,20,18,0.9,3,2,0,2,0,1,0,0,0,0,1,0,0,101.97,0.169006,68.0
off,202,24.0,8,0,20,0,0.0,3,1,1,1,0,1,0,0,0,1,1,0,0,103.77,0.175078,71.9
on,203,24.0,8,0,20,18,0.9,3,1,0,2,0,1,0,0,0,0,2,0,0,176.4,0.205713,73.1
off,203,24.0,8,0,20,0,0.0,3,1,0,2,0,1,0,0,0,0,2,0,0,176.4,0.205713,108.5
on,204,24.0,8,0,29,20,0.69,11,3,7,2,0,2,2,0,0,6,2,0,1,236.07,0.362901,177.5
off,204,24.0,8,0,20,0,0.0,3,1,1,1,0,1,0,0,0,1,1,0,0,280.98,0.432443,77.2
