arm,seed,horizon_min,patience,earliest,cycles,diagnosed,diag_share,stage3_attempts,accepted,rule,concept,composite,clause,clause_accepted,rej_G1,rej_G2,rej_G3,rej_G4G5,rej_other,genai_retired,burned_ha,j_total,seconds
on,201,24.0,8,0,29,20,0.69,4,1,0,3,0,1,0,0,0,0,3,0,0,294.39,0.376276,83.3
off,201,24.0,8,0,20,0,0.0,3,0,0,2,0,1,0,0,0,0,3,0,0,331.02,0.426141,58.9
on,202,24.0,8,0,20,18,0.9,4,0,0,3,0,1,0,0,0,0,4,0,0,82.17,0.164315,85.0
off,202,24.0,8,0,20,0,0.0,4,1,1,2,0,1,0,0,0,0,3,0,0,78.12,0.15956,62.0
on,203,24.0,8,0,20,18,0.9,4,0,0,3,0,1,0,0,0,0,4,0,0,184.23,0.226174,69.1
off,203,24.0,8,0,20,0,0.0,4,0,1,2,0,1,0,0,0,1,3,0,0,184.23,0.226174,67.7
on,204,24.0,8,0,20,18,0.9,3,1,1,1,0,1,0,0,0,0,2,0,0,267.84,0.420843,57.4
off,204,24.0,8,0,20,0,0.0,3,1,0,2,0,1,0,0,0,0,2,0,0,292.32,0.444021,55.6
on,205,24.0,8,0,20,18,0.9,4,0,0,3,0,1,0,0,0,0,4,0,0,163.62,0.229793,68.5
off,205,24.0,8,0,20,0,0.0,3,1,0,1,0,2,0,0,0,0,2,0,0,166.77,0.220448,66.4
