arm,seed,horizon_min,patience,earliest,cycles,diagnosed,diag_share,stage3_attempts,accepted,rule,concept,composite,clause,clause_accepted,rej_G1,rej_G2,rej_G3,rej_G4G5,rej_other,genai_retired,burned_ha,j_total,seconds
on,201,24.0,8,30,37,21,0.568,2,1,2,0,0,0,0,0,0,1,0,0,0,329.4,0.414433,44.0
off,201,24.0,8,30,20,0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,309.24,0.405415,30.0
on,202,24.0,8,30,20,18,0.9,1,0,1,0,0,0,0,0,0,1,0,0,0,88.92,0.165404,31.1
off,202,24.0,8,30,20,0,0.0,1,0,0,0,0,1,0,0,1,0,0,0,0,88.92,0.165404,28.9
on,203,24.0,8,30,20,18,0.9,2,0,2,0,0,0,0,0,0,2,0,0,0,181.71,0.217206,37.9
off,203,24.0,8,30,20,0,0.0,2,1,2,0,0,0,0,0,0,1,0,0,0,151.38,0.190744,39.4
on,204,24.0,8,30,20,18,0.9,4,3,3,0,0,1,0,0,0,0,1,0,0,274.59,0.440361,75.8
off,204,24.0,8,30,20,0,0.0,6,3,5,1,0,0,0,0,0,2,1,0,0,277.38,0.43319,72.4
on,205,24.0,8,30,20,17,0.85,3,0,2,1,0,0,0,0,0,2,1,0,0,178.38,0.237199,52.0
off,205,24.0,8,30,20,0,0.0,3,0,1,1,0,1,0,0,0,1,2,0,0,178.38,0.237199,55.5
