scenario,arm,seed,t_min,burned_cells,j_phys
S1,Greedy,101,2.0,7,0.00152
S1,Greedy,101,14.0,83,0.01714
S1,Greedy,101,26.0,99,0.02024
S1,Greedy,101,38.0,104,0.0212
S1,Greedy,101,50.0,105,0.02139
S1,Greedy,101,62.0,108,0.02196
S1,Greedy,101,74.0,120,0.02422
S1,Greedy,101,86.0,127,0.02553
S1,Greedy,101,98.0,128,0.02571
S1,Greedy,101,110.0,132,0.02645
S1,Greedy,101,122.0,139,0.02774
S1,Greedy,101,134.0,142,0.02828
S1,Greedy,101,146.0,143,0.02847
S1,Greedy,101,158.0,144,0.02865
S1,Greedy,101,170.0,148,0.02937
S1,Greedy,101,182.0,152,0.0301
S1,Greedy,101,194.0,152,0.0301
S1,Greedy,101,206.0,153,0.03028
S1,Greedy,101,218.0,157,0.03099
S1,Greedy,101,230.0,160,0.03153
S1,Greedy,101,242.0,160,0.03153
S1,Greedy,101,254.0,162,0.03189
S1,Greedy,101,266.0,162,0.03189
S1,Greedy,101,278.0,162,0.03189
S1,Greedy,101,290.0,162,0.03189
S1,Greedy,101,302.0,162,0.03189
S1,Greedy,101,314.0,162,0.03189
S1,Greedy,101,326.0,162,0.03189
S1,Greedy,101,338.0,162,0.03189
S1,Greedy,101,350.0,162,0.03189
S1,Greedy,101,362.0,162,0.03189
S1,Greedy,101,374.0,162,0.03189
S1,Greedy,101,386.0,162,0.03189
S1,Greedy,101,398.0,162,0.03189
S1,Greedy,101,410.0,162,0.03189
S1,Greedy,101,422.0,162,0.03189
S1,Greedy,101,434.0,162,0.03189
S1,Greedy,101,446.0,162,0.03189
S1,Greedy,101,458.0,162,0.03189
S1,Greedy,101,470.0,162,0.03189
S1,Greedy,101,482.0,162,0.03189
S1,Greedy,101,494.0,162,0.03189
S1,Greedy,102,2.0,6,0.00134
S1,Greedy,102,14.0,144,0.02935
S1,Greedy,102,26.0,216,0.04217
S1,Greedy,102,38.0,226,0.04386
S1,Greedy,102,50.0,233,0.04504
S1,Greedy,102,62.0,236,0.04554
S1,Greedy,102,74.0,240,0.0462
S1,Greedy,102,86.0,243,0.0467
S1,Greedy,102,98.0,248,0.04752
S1,Greedy,102,110.0,250,0.04785
S1,Greedy,102,122.0,254,0.04851
S1,Greedy,102,134.0,256,0.04883
S1,Greedy,102,146.0,256,0.04883
S1,Greedy,102,158.0,257,0.04899
S1,Greedy,102,170.0,258,0.04916
S1,Greedy,102,182.0,260,0.04948
S1,Greedy,102,194.0,264,0.05013
S1,Greedy,102,206.0,264,0.05013
S1,Greedy,102,218.0,264,0.05013
S1,Greedy,102,230.0,264,0.05013
S1,Greedy,102,242.0,265,0.05029
S1,Greedy,102,254.0,265,0.05029
S1,Greedy,102,266.0,265,0.05029
S1,Greedy,102,278.0,265,0.05029
S1,Greedy,102,290.0,265,0.05029
S1,Greedy,102,302.0,265,0.05029
S1,Greedy,102,314.0,265,0.05029
S1,Greedy,102,326.0,265,0.05029
S1,Greedy,103,2.0,3,0.00066
S1,Greedy,103,14.0,3,0.00066
S1,Greedy,104,2.0,5,0.00111
S1,Greedy,104,14.0,102,0.0213
S1,Greedy,104,26.0,248,0.04746
S1,Greedy,104,38.0,312,0.05759
S1,Greedy,104,50.0,337,0.06135
S1,Greedy,104,62.0,413,0.07548
S1,Greedy,104,74.0,467,0.09259
S1,Greedy,104,86.0,473,0.09341
S1,Greedy,104,98.0,484,0.10141
S1,Greedy,104,110.0,508,0.10611
S1,Greedy,104,122.0,520,0.10761
S1,Greedy,104,134.0,521,0.10773
S1,Greedy,104,146.0,526,0.10834
S1,Greedy,104,158.0,537,0.10968
S1,Greedy,104,170.0,545,0.11228
S1,Greedy,104,182.0,552,0.11312
S1,Greedy,104,194.0,554,0.11335
S1,Greedy,104,206.0,557,0.11371
S1,Greedy,104,218.0,562,0.1143
S1,Greedy,104,230.0,573,0.11559
S1,Greedy,104,242.0,575,0.11582
S1,Greedy,104,254.0,576,0.11594
S1,Greedy,104,266.0,577,0.1177
S1,Greedy,104,278.0,587,0.11886
S1,Greedy,104,290.0,595,0.11977
S1,Greedy,104,302.0,617,0.12226
S1,Greedy,104,314.0,641,0.1282
S1,Greedy,104,326.0,678,0.13218
S1,Greedy,104,338.0,686,0.13303
S1,Greedy,104,350.0,689,0.13334
S1,Greedy,104,362.0,691,0.13355
S1,Greedy,104,374.0,691,0.13355
S1,Greedy,104,386.0,691,0.13355
S1,Greedy,104,398.0,704,0.1349
S1,Greedy,104,410.0,712,0.13572
S1,Greedy,104,422.0,716,0.13613
S1,Greedy,104,434.0,716,0.13613
S1,Greedy,104,446.0,720,0.13654
S1,Greedy,104,458.0,722,0.13674
S1,Greedy,104,470.0,723,0.13684
S1,Greedy,104,482.0,726,0.13714
S1,Greedy,104,494.0,728,0.13735
S1,Greedy,104,506.0,730,0.13755
S1,Greedy,104,518.0,732,0.13775
S1,Greedy,104,530.0,732,0.13775
S1,Greedy,104,542.0,734,0.13795
S1,Greedy,104,554.0,734,0.13795
S1,Greedy,104,566.0,735,0.13805
