scenario,arm,seed,profile,burned_ha,forest_ha,pop_affected,evacuated,out_min,success,t2h_j_burn,t2h_j_asset,t2h_j_pop,t2h_j_resp,t2h_j_delay,t2h_j_total,t2h_j_phys,t6h_j_burn,t6h_j_asset,t6h_j_pop,t6h_j_resp,t6h_j_delay,t6h_j_total,t6h_j_phys,end_j_burn,end_j_asset,end_j_pop,end_j_resp,end_j_delay,end_j_total,end_j_phys,wall_s
S1,Greedy,101,greedy,14.58,5.94,0.0,0.0,498.0,1,0.08101,0.0,0.0,0.10538,0.39629,0.05334,0.027,0.09566,0.0,0.0,0.33804,0.38457,0.07064,0.03189,0.09566,0.0,0.0,0.42198,0.39128,0.07597,0.03189,1.4
S1,Greedy,102,greedy,23.85,3.51,0.0,0.0,332.0,1,0.14355,0.0,0.0,0.14775,0.41571,0.07537,0.04785,,,,,,,,0.15087,0.0,0.0,0.3356,0.51216,0.09424,0.05029,1.0
S1,Greedy,103,greedy,0.27,0.27,0.0,0.0,24.0,1,,,,,,,,,,,,,,,0.00197,0.0,0.0,0.00177,0.40032,0.02423,0.00066,0.1
S1,Greedy,104,greedy,66.15,25.38,152232.0,0.0,-1,0,0.25746,0.06413,0.00049,0.20129,0.32031,0.12541,0.10736,0.31625,0.08387,0.00054,0.53533,0.34748,0.16977,0.13355,0.32974,0.08387,0.00054,1.0,0.40889,0.20469,0.13805,2.1
S1,Greedy,105,greedy,6.75,1.71,0.0,0.0,152.0,1,0.04805,0.0,0.0,0.05099,0.37546,0.03922,0.01602,,,,,,,,0.04805,0.0,0.0,0.06278,0.37155,0.03968,0.01602,0.4
S1,Greedy,106,greedy,2.52,1.8,0.0,0.0,182.0,1,0.01645,0.0,0.0,0.05652,0.50079,0.03762,0.00548,,,,,,,,0.01769,0.0,0.0,0.08677,0.49285,0.0393,0.0059,0.5
S1,Greedy,107,greedy,0.99,0.9,0.0,0.0,74.0,1,,,,,,,,,,,,,,,0.00732,0.0,0.0,0.01881,0.56379,0.03642,0.00244,0.2
S1,Greedy,108,greedy,8.91,5.13,0.0,0.0,272.0,1,0.0498,0.0,0.0,0.0921,0.41948,0.04474,0.0166,,,,,,,,0.0609,0.0,0.0,0.19766,0.36341,0.05092,0.0203,0.7
S1,Greedy,109,greedy,4.68,1.98,0.0,0.0,140.0,1,0.03366,0.0,0.0,0.05145,0.41102,0.0371,0.01122,,,,,,,,0.03366,0.0,0.0,0.06291,0.36741,0.03521,0.01122,0.4
S1,Greedy,110,greedy,1.26,1.17,0.0,0.0,62.0,1,,,,,,,,,,,,,,,0.00899,0.0,0.0,0.0251,0.39246,0.02721,0.003,0.2
S2,Greedy,101,greedy,187.74,99.36,1169070.0,0.0,-1,0,0.30465,0.0,0.0,0.2687,0.30689,0.12346,0.10155,0.5757,0.37419,0.00487,0.86818,0.15535,0.34102,0.31825,0.57664,0.37419,0.0049,1.0,0.23997,0.35404,0.31858,2.4
S2,Greedy,102,greedy,40.77,10.89,0.0,0.0,-1,0,0.19313,0.0,0.0,0.25213,0.42599,0.09669,0.06438,0.2266,0.0,0.0,0.74874,0.48127,0.139,0.07553,0.23296,0.0,0.0,1.0,0.33391,0.14698,0.07765,2.3
S2,Greedy,103,greedy,124.2,44.55,138067.0,0.0,-1,0,0.42642,0.15451,0.00057,0.25667,0.32991,0.20553,0.19383,0.46004,0.19314,0.00077,0.85618,0.31704,0.26135,0.21798,0.47586,0.19314,0.00083,1.0,0.35751,0.27686,0.22328,2.3
S2,Greedy,104,greedy,70.56,26.64,114174.0,0.0,-1,0,0.23188,0.03453,0.0,0.25481,0.32143,0.11225,0.0888,0.32974,0.06907,0.00049,0.84919,0.30983,0.18562,0.1331,0.34416,0.06907,0.00049,1.0,0.31438,0.199,0.13791,2.2
S2,Greedy,105,greedy,16.65,5.49,0.0,0.0,154.0,1,0.10911,0.0,0.0,0.16649,0.3249,0.061,0.03637,,,,,,,,0.11071,0.0,0.0,0.21064,0.30671,0.06299,0.0369,0.4
S2,Greedy,106,greedy,5.13,4.41,0.0,0.0,350.0,1,0.03055,0.0,0.0,0.14492,0.49023,0.04635,0.01018,,,,,,,,0.03536,0.0,0.0,0.33163,0.49252,0.05888,0.01179,0.9
S2,Greedy,107,greedy,171.0,52.47,576677.0,0.0,-1,0,0.53794,0.20424,0.00133,0.2564,0.16594,0.24352,0.24784,0.55753,0.24913,0.00258,0.83643,0.26653,0.30289,0.26975,0.56014,0.24913,0.00258,1.0,0.18467,0.30847,0.27062,2.6
S2,Greedy,108,greedy,233.46,108.18,1461720.0,0.0,-1,0,0.52849,0.15144,0.00178,0.26955,0.11147,0.22292,0.22724,0.56909,0.4,0.0066,0.86861,0.13193,0.34582,0.32523,0.62954,0.41971,0.00726,1.0,0.23434,0.38334,0.35217,2.8
