step,j_c,j_0,bound,deficit_on,gap,adapt_due,seed
0,0.10396923016421077,0.10396923016421077,0.09877076865600022,True,False,True,201
6,0.2197255430675194,0.19546527077528494,0.0,True,True,True,201
12,0.24420320024588021,0.24415766051249851,0.0,True,True,True,201
18,0.26703101759482656,0.2643511978441486,0.0,True,True,True,201
24,0.25111514154891956,0.27966997158396195,0.0,True,True,True,201
30,0.25198747324802007,0.287112831882203,0.0,True,True,True,201
36,0.27923459211187746,0.30488245596526287,0.0,True,True,True,201
42,0.29521929492133747,0.32126109675121634,0.0,True,True,True,201
48,0.31138751019388594,0.32585828949809725,0.0,True,True,True,201
54,0.32108983846330735,0.3407804597597496,0.0,True,True,True,201
60,0.3324909863302101,0.3641558748228668,0.0,True,True,True,201
66,0.35463768202774326,0.3678924751903114,0.0,True,True,True,201
72,0.3623188366773832,0.37993715937126793,0.0,True,True,True,201
78,0.3620925092756343,0.3896120373645722,0.0,True,True,True,201
84,0.3735001667363678,0.3977813635777991,0.0,True,True,True,201
90,0.37788354502979177,0.3860976567824662,0.0,True,True,True,201
96,0.3828847635274515,0.39181614382782337,0.0,True,True,True,201
102,0.39137125832428593,0.3951053297041054,0.0,True,True,True,201
108,0.40141926890346696,0.4020296924996279,0.0,True,True,True,201
114,0.41355039502836266,0.41208547056150285,0.0,True,True,True,201
120,0.42039301603240387,0.4213181951556371,0.0,True,True,True,201
126,0.4295208426901611,0.42696777966981486,0.0,True,True,True,201
132,0.42929887800818356,0.43121597118225813,0.0,True,True,True,201
138,0.4337473945542978,0.43606189424568387,0.0,True,True,True,201
144,0.4403938801848897,0.44112400514825717,0.0,True,True,True,201
150,0.44433324300875315,0.4449699502720219,0.0,True,True,True,201
156,0.4504674015898305,0.4477281380265784,0.0,True,True,True,201
162,0.45506677200957696,0.45259094914521764,0.0,True,True,True,201
168,0.4610678969684233,0.4568417738427508,0.0,True,True,True,201
174,0.46573173792451394,0.4648120480681114,0.0,True,True,True,201
0,0.06050353035162537,0.06050353035162537,0.057478353834044094,True,False,True,202
6,0.09999198722723186,0.09125381228014821,0.0,True,True,True,202
12,0.10007702056074577,0.09943523914474342,0.0,True,True,True,202
