dial,level,seed,spread_tighten,j_phys,j_total,burned,cycles,fs_frac,seconds
j_threshold,0.15,202,1.0,0.14856,0.19419,1302,30,0.242,19.8
j_threshold,0.15,201,1.0,0.46068,0.4635,3787,30,0.0,20.2
j_threshold,0.25,201,1.0,0.46068,0.4635,3787,30,0.0,20.0
j_threshold,0.15,203,1.0,0.27759,0.3015,3037,30,0.0,21.2
j_threshold,0.25,202,1.0,0.14856,0.19419,1302,30,0.242,19.2
j_threshold,0.25,203,1.0,0.27759,0.3015,3037,30,0.0,20.8
j_threshold,0.35,201,1.0,0.46068,0.4635,3787,30,0.0,20.1
j_threshold,0.35,202,1.0,0.14856,0.19419,1302,30,0.242,19.8
j_threshold,0.35,203,1.0,0.27759,0.3015,3037,30,0.0,21.2
j_threshold,0.45,201,1.0,0.46068,0.4635,3787,30,0.0,20.2
j_threshold,0.45,202,1.0,0.14856,0.19419,1302,30,0.242,19.4
j_threshold,0.45,203,1.0,0.27759,0.3015,3037,30,0.0,20.4
j_threshold,0.6,201,1.0,0.46068,0.4635,3787,30,0.0,20.2
j_threshold,0.6,202,1.0,0.14856,0.19419,1302,30,0.242,19.9
j_threshold,0.6,203,1.0,0.27759,0.3015,3037,30,0.0,20.9
eta,0.3,201,1.0,0.46068,0.4635,3787,30,0.0,19.7
eta,0.3,202,1.0,0.14856,0.19419,1302,30,0.0,19.4
eta,0.3,203,1.0,0.27759,0.3015,3037,30,0.0,20.6
eta,0.45,201,1.0,0.46068,0.4635,3787,30,0.0,19.4
eta,0.45,202,1.0,0.14856,0.19419,1302,30,0.0,18.7
eta,0.45,203,1.0,0.27759,0.3015,3037,30,0.0,21.2
eta,0.6,201,1.0,0.46068,0.4635,3787,30,0.0,20.0
eta,0.6,202,1.0,0.14856,0.19419,1302,30,0.242,19.6
eta,0.6,203,1.0,0.27759,0.3015,3037,30,0.0,20.4
eta,0.75,202,1.0,0.13232,0.17843,932,31,0.419,18.4
eta,0.75,201,1.0,0.4725,0.47372,3814,30,0.442,20.3
eta,0.75,203,1.0,0.22598,0.25967,2420,30,0.7,19.7
eta,0.9,201,1.0,0.38223,0.39712,3327,30,1.0,19.5
eta,0.9,202,1.0,0.21483,0.25196,2086,30,1.0,13.9
eta,0.9,203,1.0,0.18252,0.22102,1999,30,1.0,21.9
j_threshold,0.15,201,0.0,0.46068,0.4635,3787,30,0.0,19.5
j_threshold,0.15,202,0.0,0.11222,0.17044,910,30,0.15,13.6
j_threshold,0.15,203,0.0,0.27759,0.3015,3037,30,0.0,19.7
j_threshold,0.25,201,0.0,0.46068,0.4635,3787,30,0.0,19.3
j_threshold,0.25,202,0.0,0.11222,0.17044,910,30,0.15,13.2
j_threshold,0.25,203,0.0,0.24298,0.27249,2542,30,0.0,18.3
j_threshold,0.35,201,0.0,0.44931,0.45386,3765,30,0.0,18.9
j_threshold,0.35,202,0.0,0.11222,0.17044,910,30,0.15,14.0
j_threshold,0.35,203,0.0,0.24298,0.27249,2542,30,0.0,18.2
j_threshold,0.45,201,0.0,0.44931,0.45386,3765,30,0.0,18.1
j_threshold,0.45,202,0.0,0.11222,0.17044,910,30,0.15,13.9
j_threshold,0.45,203,0.0,0.24298,0.27249,2542,30,0.0,17.9
j_threshold,0.6,201,0.0,0.44931,0.45386,3765,30,0.0,18.3
j_threshold,0.6,202,0.0,0.11222,0.17044,910,30,0.15,13.8
j_threshold,0.6,203,0.0,0.24298,0.27249,2542,30,0.0,17.8
eta,0.3,201,0.0,0.44931,0.45386,3765,30,0.0,18.4
eta,0.3,202,0.0,0.11222,0.17044,910,30,0.0,13.7
eta,0.3,203,0.0,0.24298,0.27249,2542,30,0.0,17.4
eta,0.45,201,0.0,0.44931,0.45386,3765,30,0.0,18.0
eta,0.45,202,0.0,0.11222,0.17044,910,30,0.0,13.2
eta,0.45,203,0.0,0.24298,0.27249,2542,30,0.0,17.7
eta,0.6,201,0.0,0.44931,0.45386,3765,30,0.0,18.2
eta,0.6,202,0.0,0.11222,0.17044,910,30,0.15,13.5
eta,0.6,203,0.0,0.24298,0.27249,2542,30,0.0,17.9
eta,0.75,201,0.0,0.46126,0.46414,3784,30,0.458,17.6
eta,0.75,202,0.0,0.16478,0.21346,1184,30,0.483,13.8
eta,0.75,203,0.0,0.23019,0.26227,2484,30,0.7,20.1
eta,0.9,201,0.0,0.4099,0.42091,3445,30,1.0,20.4
eta,0.9,202,0.0,0.15463,0.20468,1277,30,1.0,14.0
eta,0.9,203,0.0,0.16906,0.21079,1893,30,1.0,19.0
j_threshold,0.15,204,1.0,0.45949,0.46146,3246,30,0.0,20.0
j_threshold,0.15,205,1.0,0.21661,0.25378,2028,30,0.05,20.2
j_threshold,0.25,204,1.0,0.45949,0.46146,3246,30,0.0,20.9
j_threshold,0.25,205,1.0,0.21661,0.25378,2028,30,0.05,20.7
j_threshold,0.35,204,1.0,0.45949,0.46146,3246,30,0.0,21.1
j_threshold,0.35,205,1.0,0.21661,0.25378,2028,30,0.05,21.0
j_threshold,0.45,205,1.0,0.21661,0.25378,2028,30,0.05,19.7
j_threshold,0.45,204,1.0,0.45949,0.46146,3246,30,0.0,20.3
j_threshold,0.6,205,1.0,0.21661,0.25378,2028,30,0.05,19.2
j_threshold,0.6,204,1.0,0.45949,0.46146,3246,30,0.0,20.0
eta,0.3,205,1.0,0.21661,0.25378,2028,30,0.0,20.5
eta,0.3,204,1.0,0.45949,0.46146,3246,30,0.0,22.7
eta,0.45,204,1.0,0.45949,0.46146,3246,30,0.0,20.7
eta,0.45,205,1.0,0.21661,0.25378,2028,30,0.0,20.9
eta,0.6,204,1.0,0.45949,0.46146,3246,30,0.0,20.3
eta,0.6,205,1.0,0.21661,0.25378,2028,30,0.05,19.4
eta,0.75,204,1.0,0.47922,0.47938,3241,30,0.633,21.0
eta,0.75,205,1.0,0.20582,0.24607,1948,30,0.75,20.1
eta,0.9,205,1.0,0.22061,0.25754,2051,31,0.984,17.4
eta,0.9,204,1.0,0.42278,0.43273,3026,30,1.0,20.9
j_threshold,0.15,204,0.0,0.45949,0.46146,3246,30,0.0,19.9
j_threshold,0.15,205,0.0,0.21661,0.25378,2028,30,0.05,20.5
j_threshold,0.25,204,0.0,0.47332,0.47399,3140,30,0.0,20.4
j_threshold,0.25,205,0.0,0.20344,0.24572,1920,30,0.05,18.2
j_threshold,0.35,205,0.0,0.20344,0.24572,1920,30,0.05,17.8
j_threshold,0.35,204,0.0,0.50189,0.49886,3412,30,0.0,19.3
j_threshold,0.45,205,0.0,0.20344,0.24572,1920,30,0.05,17.4
j_threshold,0.45,204,0.0,0.49691,0.49477,3254,30,0.0,18.2
j_threshold,0.6,204,0.0,0.49691,0.49477,3254,30,0.0,17.4
j_threshold,0.6,205,0.0,0.20344,0.24572,1920,30,0.05,16.8
eta,0.3,205,0.0,0.20344,0.24572,1920,30,0.0,17.0
eta,0.3,204,0.0,0.50189,0.49886,3412,30,0.0,18.6
eta,0.45,204,0.0,0.50189,0.49886,3412,30,0.0,18.2
eta,0.45,205,0.0,0.20344,0.24572,1920,30,0.0,16.8
eta,0.6,205,0.0,0.20344,0.24572,1920,30,0.05,17.6
eta,0.6,204,0.0,0.50189,0.49886,3412,30,0.0,18.6
eta,0.75,204,0.0,0.35797,0.37912,2472,30,0.658,17.7
eta,0.75,205,0.0,0.20633,0.24914,1957,30,0.75,19.3
eta,0.9,204,0.0,0.46594,0.46852,3265,30,1.0,20.6
eta,0.9,205,0.0,0.22084,0.26255,2069,30,1.0,20.6
