dial,level,seed,spread_tighten,j_phys,j_total,burned,cycles,adapt_frac,tried1,tried2,tried3,acc1,acc2,acc3,rules,fs_frac,seconds
j_threshold,0.05,202,0.0,0.13784,0.19274,1087,30,1.0,23,4,3,11,2,0,7,0.092,18.8
j_threshold,0.05,201,0.0,0.46545,0.46718,3807,30,1.0,26,1,3,21,1,0,6,0.175,21.8
j_threshold,0.05,203,0.0,0.15906,0.20126,1743,30,1.0,17,10,3,11,3,0,8,0.008,20.9
j_threshold,0.05,204,0.0,0.30588,0.33357,2297,30,1.0,25,2,3,12,2,1,8,0.058,21.2
j_threshold,0.05,205,0.0,0.26852,0.29794,2639,30,1.0,2,24,4,2,4,1,10,0.1,18.9
j_threshold,0.05,206,0.0,0.21791,0.24838,2115,30,1.0,7,20,3,5,6,0,11,0.058,16.4
j_threshold,0.05,208,0.0,0.41087,0.42013,2930,30,1.0,23,4,3,11,2,0,7,0.242,19.0
j_threshold,0.05,207,0.0,0.28399,0.31066,2747,30,1.0,26,1,3,16,0,1,6,0.292,20.0
j_threshold,0.05,210,0.0,0.29975,0.32138,3026,30,1.0,25,2,3,17,2,1,8,0.017,20.8
j_threshold,0.05,209,0.0,0.50787,0.5047,3895,30,1.0,25,2,3,17,2,2,9,0.3,21.9
j_threshold,0.1,202,0.0,0.14136,0.19631,1094,30,0.967,20,6,3,9,2,0,7,0.1,18.6
j_threshold,0.1,201,0.0,0.46545,0.46718,3807,30,1.0,26,1,3,21,1,0,6,0.175,21.2
j_threshold,0.1,203,0.0,0.15906,0.20126,1743,30,1.0,17,10,3,11,3,0,8,0.008,20.2
j_threshold,0.1,204,0.0,0.30588,0.33357,2297,30,1.0,25,2,3,12,2,1,8,0.058,20.3
j_threshold,0.1,206,0.0,0.24381,0.26907,2406,30,0.9,2,21,4,2,7,1,13,0.058,16.7
j_threshold,0.1,205,0.0,0.26852,0.29794,2639,30,1.0,2,24,4,2,4,1,10,0.1,18.8
j_threshold,0.1,207,0.0,0.28399,0.31066,2747,30,1.0,26,1,3,16,0,1,6,0.292,20.2
j_threshold,0.1,208,0.0,0.41087,0.42013,2930,30,1.0,23,4,3,11,2,0,7,0.242,20.1
j_threshold,0.1,209,0.0,0.50787,0.5047,3895,30,1.0,25,2,3,17,2,2,9,0.3,20.9
j_threshold,0.1,210,0.0,0.29975,0.32138,3026,30,1.0,25,2,3,17,2,1,8,0.017,21.4
j_threshold,0.15,202,0.0,0.13846,0.19045,1096,30,0.767,14,5,4,9,2,1,8,0.117,18.1
j_threshold,0.15,201,0.0,0.46545,0.46718,3807,30,1.0,26,1,3,21,1,0,6,0.175,23.4
j_threshold,0.15,203,0.0,0.16182,0.20286,1775,30,0.967,16,10,3,8,4,0,9,0.008,20.4
j_threshold,0.15,204,0.0,0.30588,0.33357,2297,30,1.0,25,2,3,12,2,1,8,0.058,20.3
j_threshold,0.15,206,0.0,0.17858,0.21386,1466,30,0.667,6,11,3,5,5,0,10,0.058,14.1
j_threshold,0.15,205,0.0,0.27018,0.29881,2620,30,1.0,8,17,5,8,5,2,12,0.1,19.5
j_threshold,0.15,207,0.0,0.28532,0.31255,2746,30,1.0,25,1,4,15,0,1,6,0.283,20.0
j_threshold,0.15,208,0.0,0.41087,0.42013,2930,30,1.0,23,4,3,11,2,0,7,0.242,20.6
j_threshold,0.15,209,0.0,0.50787,0.5047,3895,30,1.0,25,2,3,17,2,2,9,0.3,21.1
j_threshold,0.15,210,0.0,0.2595,0.2864,2719,35,0.857,24,3,3,14,2,1,8,0.014,21.6
j_threshold,0.2,202,0.0,0.13805,0.19038,1090,30,0.733,16,3,3,12,2,1,8,0.117,17.4
j_threshold,0.2,201,0.0,0.46545,0.46718,3807,30,1.0,26,1,3,21,1,0,6,0.175,21.8
j_threshold,0.2,203,0.0,0.16001,0.20376,1763,30,0.667,4,13,3,3,5,0,10,0.008,16.0
j_threshold,0.2,204,0.0,0.30591,0.33045,2298,35,0.886,21,6,4,10,4,1,10,0.036,21.1
j_threshold,0.2,205,0.0,0.22184,0.25994,2111,30,0.933,7,18,3,7,7,0,12,0.1,17.8
j_threshold,0.2,206,0.0,0.18555,0.22141,1544,30,0.567,3,11,3,3,5,0,10,0.058,14.2
j_threshold,0.2,207,0.0,0.34339,0.36039,3082,30,0.967,25,1,3,14,0,0,5,0.275,20.1
j_threshold,0.2,208,0.0,0.41087,0.42013,2930,30,1.0,23,4,3,11,2,0,7,0.242,20.7
j_threshold,0.2,209,0.0,0.50787,0.5047,3895,30,1.0,25,2,3,17,2,2,9,0.3,20.1
j_threshold,0.2,210,0.0,0.23766,0.26765,2695,35,0.771,22,2,3,10,2,1,8,0.014,19.6
j_threshold,0.25,201,0.0,0.50186,0.49537,3861,43,0.721,17,7,7,6,3,2,10,0.227,20.3
j_threshold,0.25,202,0.0,0.13805,0.19038,1090,30,0.733,16,3,3,12,2,1,8,0.117,16.6
j_threshold,0.25,203,0.0,0.16001,0.20379,1763,30,0.633,3,13,3,2,5,0,10,0.008,15.1
j_threshold,0.25,204,0.0,0.49741,0.49518,3422,30,0.933,10,15,3,8,3,1,9,0.25,15.9
j_threshold,0.25,206,0.0,0.18751,0.22241,1569,30,0.533,1,12,3,1,5,0,10,0.058,13.8
j_threshold,0.25,205,0.0,0.22184,0.25994,2111,30,0.933,7,18,3,7,7,0,12,0.1,18.2
j_threshold,0.25,207,0.0,0.35116,0.36728,3168,30,0.9,16,8,3,10,2,1,8,0.092,19.4
j_threshold,0.25,208,0.0,0.41024,0.41943,2929,30,1.0,18,9,3,7,6,0,11,0.208,19.8
j_threshold,0.25,209,0.0,0.53735,0.53068,3956,30,0.933,23,2,3,9,2,1,8,0.3,19.0
j_threshold,0.25,210,0.0,0.24118,0.27081,2707,35,0.571,16,2,2,11,2,0,7,0.014,17.7
j_threshold,0.35,201,0.0,0.48564,0.48528,3822,30,0.767,12,6,5,4,3,1,9,0.158,16.4
j_threshold,0.35,202,0.0,0.13805,0.19038,1090,30,0.733,16,3,3,12,2,1,8,0.117,17.4
j_threshold,0.35,203,0.0,0.16001,0.20379,1763,30,0.633,3,13,3,2,5,0,10,0.008,15.5
j_threshold,0.35,204,0.0,0.47278,0.47419,3107,30,0.9,15,5,7,3,1,3,9,0.258,18.4
j_threshold,0.35,205,0.0,0.22184,0.25994,2111,30,0.933,7,18,3,7,7,0,12,0.1,17.6
j_threshold,0.35,206,0.0,0.18751,0.22241,1569,30,0.533,1,12,3,1,5,0,10,0.058,13.9
