dial,level,seed,spread_tighten,j_phys,j_total,burned,cycles,adapt_frac,tried1,tried2,tried3,acc1,acc2,acc3,rules,fs_frac,seconds
j_threshold,0.05,202,0.0,0.13784,0.19274,1087,30,1.0,23,4,3,11,2,0,7,0.092,17.6
j_threshold,0.05,201,0.0,0.46545,0.46718,3807,30,1.0,26,1,3,21,1,0,6,0.175,20.2
j_threshold,0.05,203,0.0,0.15748,0.20071,1736,30,1.0,19,8,3,11,3,0,8,0.008,17.7
j_threshold,0.05,204,0.0,0.30588,0.33357,2297,30,1.0,25,2,3,12,2,1,8,0.058,19.6
j_threshold,0.05,205,0.0,0.26852,0.29794,2639,30,1.0,2,24,4,2,4,1,10,0.1,16.6
j_threshold,0.05,206,0.0,0.21791,0.24838,2115,30,1.0,7,20,3,5,6,0,11,0.058,14.9
j_threshold,0.05,207,0.0,0.28399,0.31066,2747,30,1.0,26,1,3,16,0,1,6,0.292,17.9
j_threshold,0.05,208,0.0,0.41087,0.42013,2930,30,1.0,23,4,3,11,2,0,7,0.242,17.2
j_threshold,0.05,209,0.0,0.50787,0.5047,3895,30,1.0,25,2,3,17,2,2,9,0.3,18.4
j_threshold,0.05,210,0.0,0.29975,0.32138,3026,30,1.0,25,2,3,17,2,1,8,0.017,19.3
j_threshold,0.15,202,0.0,0.11112,0.16905,866,31,0.548,6,5,6,6,2,2,9,0.097,12.5
j_threshold,0.15,201,0.0,0.46545,0.46718,3807,30,1.0,26,1,3,21,1,0,6,0.175,19.7
j_threshold,0.15,203,0.0,0.22835,0.25877,2469,30,0.933,23,2,3,17,2,1,8,0.025,18.9
j_threshold,0.15,204,0.0,0.30588,0.33357,2297,30,1.0,25,2,3,12,2,1,8,0.058,18.9
j_threshold,0.15,206,0.0,0.13819,0.18303,885,30,0.5,9,3,3,9,2,1,8,0.117,12.0
j_threshold,0.15,205,0.0,0.27018,0.29888,2620,30,1.0,7,18,5,7,5,2,12,0.1,17.7
j_threshold,0.15,207,0.0,0.28399,0.31066,2747,30,1.0,26,1,3,16,0,1,6,0.292,18.6
j_threshold,0.15,208,0.0,0.41087,0.42013,2930,30,1.0,23,4,3,11,2,0,7,0.242,18.4
j_threshold,0.15,210,0.0,0.25825,0.28695,2774,30,0.967,24,2,3,13,1,0,6,0.192,17.2
j_threshold,0.15,209,0.0,0.50787,0.5047,3895,30,1.0,25,2,3,17,2,2,9,0.3,19.9
j_threshold,0.25,202,0.0,0.09614,0.14315,806,31,0.129,0,1,3,0,1,2,8,0.323,8.8
j_threshold,0.25,203,0.0,0.23127,0.26369,2474,30,0.267,1,5,2,0,1,0,6,0.233,9.6
j_threshold,0.25,201,0.0,0.46545,0.46718,3807,30,1.0,26,1,3,21,1,0,6,0.175,20.8
j_threshold,0.25,205,0.0,0.23821,0.2726,2358,30,0.667,5,12,3,5,5,0,10,0.283,14.3
j_threshold,0.25,204,0.0,0.30591,0.33179,2298,31,0.968,20,6,4,9,4,1,10,0.04,18.6
j_threshold,0.25,206,0.0,0.32969,0.34123,3397,30,0.467,10,1,3,8,0,1,6,0.308,12.0
j_threshold,0.25,207,0.0,0.28777,0.31389,2734,30,0.933,19,4,5,9,2,1,8,0.258,18.4
j_threshold,0.25,208,0.0,0.41028,0.41945,2930,30,1.0,20,7,3,13,5,0,10,0.208,18.4
j_threshold,0.25,210,0.0,0.24476,0.27578,2762,30,0.3,2,4,3,0,2,0,7,0.433,10.2
j_threshold,0.25,209,0.0,0.50787,0.5047,3895,30,1.0,25,2,3,17,2,2,9,0.3,19.9
j_threshold,0.35,202,0.0,0.09614,0.14315,806,31,0.129,0,1,3,0,1,2,8,0.323,8.6
j_threshold,0.35,201,0.0,0.48521,0.48459,3822,30,0.8,20,1,3,6,1,0,6,0.167,16.1
j_threshold,0.35,203,0.0,0.22894,0.26223,2475,30,0.033,0,0,1,0,0,0,5,0.242,7.7
j_threshold,0.35,205,0.0,0.23618,0.27064,2350,30,0.3,1,5,3,1,4,0,9,0.317,10.3
j_threshold,0.35,204,0.0,0.47278,0.47419,3107,30,0.9,15,5,7,3,1,3,9,0.258,17.4
j_threshold,0.35,206,0.0,0.30213,0.3162,3235,30,0.133,1,1,2,1,1,0,6,0.275,7.7
j_threshold,0.35,207,0.0,0.3485,0.36477,3080,30,0.267,3,3,2,1,1,0,6,0.258,9.1
j_threshold,0.35,208,0.0,0.42244,0.42929,2949,30,0.833,10,10,5,7,4,1,10,0.15,14.3
j_threshold,0.35,209,0.0,0.43092,0.43682,3633,31,0.742,2,18,3,2,3,1,9,0.298,10.6
j_threshold,0.35,210,0.0,0.24476,0.27595,2762,30,0.067,0,1,1,0,1,0,6,0.467,7.3
j_threshold,0.45,202,0.0,0.09614,0.14315,806,31,0.129,0,1,3,0,1,2,8,0.323,8.9
j_threshold,0.45,201,0.0,0.48144,0.48127,3818,30,0.5,11,1,3,7,1,0,6,0.075,13.5
j_threshold,0.45,203,0.0,0.22894,0.26223,2475,30,0.033,0,0,1,0,0,0,5,0.242,7.0
j_threshold,0.45,204,0.0,0.48086,0.48113,3271,30,0.667,11,4,5,4,2,2,9,0.258,13.3
j_threshold,0.45,205,0.0,0.23618,0.27064,2350,30,0.3,1,5,3,1,4,0,9,0.317,9.7
j_threshold,0.45,206,0.0,0.30134,0.31646,3229,30,0.033,0,0,1,0,0,0,5,0.325,6.1
j_threshold,0.45,207,0.0,0.34422,0.36192,3069,30,0.033,0,0,1,0,0,0,5,0.292,7.0
j_threshold,0.45,209,0.0,0.43092,0.43696,3633,31,0.484,1,11,3,1,3,1,9,0.298,10.6
j_threshold,0.45,208,0.0,0.42244,0.42929,2949,30,0.833,11,10,4,7,4,1,10,0.15,14.2
j_threshold,0.45,210,0.0,0.24476,0.27595,2762,30,0.067,0,1,1,0,1,0,6,0.467,9.5
j_threshold,0.55,201,0.0,0.4841,0.48379,3820,30,0.367,7,1,3,5,1,0,6,0.075,15.3
j_threshold,0.55,202,0.0,0.09614,0.14315,806,31,0.129,0,1,3,0,1,2,8,0.323,10.2
j_threshold,0.55,203,0.0,0.22894,0.26223,2475,30,0.033,0,0,1,0,0,0,5,0.242,7.4
j_threshold,0.55,205,0.0,0.23618,0.27064,2350,30,0.3,1,5,3,1,4,0,9,0.317,10.8
j_threshold,0.55,204,0.0,0.48086,0.48113,3271,30,0.667,11,4,5,4,2,2,9,0.258,14.4
j_threshold,0.55,206,0.0,0.30134,0.31646,3229,30,0.033,0,0,1,0,0,0,5,0.325,6.9
j_threshold,0.55,207,0.0,0.34422,0.36192,3069,30,0.033,0,0,1,0,0,0,5,0.292,7.4
j_threshold,0.55,209,0.0,0.43092,0.43696,3633,31,0.484,1,11,3,1,3,1,9,0.298,10.0
j_threshold,0.55,208,0.0,0.42244,0.42929,2949,30,0.833,11,10,4,7,4,1,10,0.15,13.9
j_threshold,0.55,210,0.0,0.24476,0.27595,2762,30,0.067,0,1,1,0,1,0,6,0.467,7.6
j_threshold,0.65,201,0.0,0.4841,0.48379,3820,30,0.367,7,1,3,5,1,0,6,0.075,12.1
j_threshold,0.65,202,0.0,0.09614,0.14315,806,31,0.129,0,1,3,0,1,2,8,0.323,9.3
j_threshold,0.65,203,0.0,0.22894,0.26223,2475,30,0.033,0,0,1,0,0,0,5,0.242,7.1
j_threshold,0.65,204,0.0,0.48086,0.48113,3271,30,0.667,11,4,5,4,2,2,9,0.258,14.2
j_threshold,0.65,205,0.0,0.23618,0.27064,2350,30,0.3,1,5,3,1,4,0,9,0.317,10.0
j_threshold,0.65,206,0.0,0.30134,0.31646,3229,30,0.033,0,0,1,0,0,0,5,0.325,6.7
j_threshold,0.65,207,0.0,0.34422,0.36192,3069,30,0.033,0,0,1,0,0,0,5,0.292,7.0
j_threshold,0.65,209,0.0,0.43092,0.43696,3633,31,0.484,1,11,3,1,3,1,9,0.298,9.9
j_threshold,0.65,208,0.0,0.42244,0.42929,2949,30,0.833,11,10,4,7,4,1,10,0.15,14.9
j_threshold,0.65,210,0.0,0.24476,0.27595,2762,30,0.067,0,1,1,0,1,0,6,0.467,7.9
j_threshold,0.75,201,0.0,0.4841,0.48379,3820,30,0.367,7,1,3,5,1,0,6,0.075,12.7
j_threshold,0.75,202,0.0,0.09614,0.14315,806,31,0.129,0,1,3,0,1,2,8,0.323,8.8
j_threshold,0.75,203,0.0,0.22894,0.26223,2475,30,0.033,0,0,1,0,0,0,5,0.242,7.4
j_threshold,0.75,204,0.0,0.48086,0.48113,3271,30,0.667,11,4,5,4,2,2,9,0.258,14.4
j_threshold,0.75,205,0.0,0.23618,0.27064,2350,30,0.3,1,5,3,1,4,0,9,0.317,10.1
j_threshold,0.75,206,0.0,0.30134,0.31646,3229,30,0.033,0,0,1,0,0,0,5,0.325,6.5
j_threshold,0.75,207,0.0,0.34422,0.36192,3069,30,0.033,0,0,1,0,0,0,5,0.292,7.0
j_threshold,0.75,209,0.0,0.43092,0.43696,3633,31,0.484,1,11,3,1,3,1,9,0.298,10.3
j_threshold,0.75,208,0.0,0.42244,0.42929,2949,30,0.833,11,10,4,7,4,1,10,0.15,13.9
j_threshold,0.75,210,0.0,0.24476,0.27595,2762,30,0.067,0,1,1,0,1,0,6,0.467,7.4
j_threshold,0.85,201,0.0,0.4841,0.48379,3820,30,0.367,7,1,3,5,1,0,6,0.075,11.7
j_threshold,0.85,202,0.0,0.09614,0.14315,806,31,0.129,0,1,3,0,1,2,8,0.323,8.6
j_threshold,0.85,203,0.0,0.22894,0.26223,2475,30,0.033,0,0,1,0,0,0,5,0.242,7.4
j_threshold,0.85,205,0.0,0.23618,0.27064,2350,30,0.3,1,5,3,1,4,0,9,0.317,10.1
j_threshold,0.85,204,0.0,0.48086,0.48113,3271,30,0.667,11,4,5,4,2,2,9,0.258,14.5
j_threshold,0.85,206,0.0,0.30134,0.31646,3229,30,0.033,0,0,1,0,0,0,5,0.325,6.4
j_threshold,0.85,207,0.0,0.34422,0.36192,3069,30,0.033,0,0,1,0,0,0,5,0.292,7.4
j_threshold,0.85,209,0.0,0.43092,0.43696,3633,31,0.484,1,11,3,1,3,1,9,0.298,9.8
j_threshold,0.85,208,0.0,0.42244,0.42929,2949,30,0.833,11,10,4,7,4,1,10,0.15,13.4
j_threshold,0.85,210,0.0,0.24476,0.27595,2762,30,0.067,0,1,1,0,1,0,6,0.467,7.0
j_threshold,0.95,201,0.0,0.4841,0.48379,3820,30,0.367,7,1,3,5,1,0,6,0.075,11.8
j_threshold,0.95,202,0.0,0.09614,0.14315,806,31,0.129,0,1,3,0,1,2,8,0.323,9.0
j_threshold,0.95,203,0.0,0.22894,0.26223,2475,30,0.033,0,0,1,0,0,0,5,0.242,7.5
j_threshold,0.95,204,0.0,0.48086,0.48113,3271,30,0.667,11,4,5,4,2,2,9,0.258,24.1
j_threshold,0.95,205,0.0,0.23618,0.27064,2350,30,0.3,1,5,3,1,4,0,9,0.317,19.5
j_threshold,0.95,206,0.0,0.30134,0.31646,3229,30,0.033,0,0,1,0,0,0,5,0.325,7.1
j_threshold,0.95,207,0.0,0.34422,0.36192,3069,30,0.033,0,0,1,0,0,0,5,0.292,7.7
j_threshold,0.95,209,0.0,0.43092,0.43696,3633,31,0.484,1,11,3,1,3,1,9,0.298,9.9
j_threshold,0.95,208,0.0,0.42244,0.42929,2949,30,0.833,11,10,4,7,4,1,10,0.15,13.4
j_threshold,0.95,210,0.0,0.24476,0.27595,2762,30,0.067,0,1,1,0,1,0,6,0.467,7.2
eta,0.05,202,0.0,0.09614,0.14315,806,31,0.129,0,1,3,0,1,2,8,0.0,9.1
eta,0.05,201,0.0,0.48834,0.48737,3822,30,0.833,21,1,3,10,1,0,6,0.0,16.8
eta,0.05,203,0.0,0.24701,0.27654,2580,30,0.033,0,0,1,0,0,0,5,0.0,8.0
eta,0.05,204,0.0,0.3,0.32634,2255,30,0.467,6,4,4,4,4,1,10,0.0,12.9
eta,0.05,205,0.0,0.20756,0.25134,1923,30,0.5,6,6,3,5,6,0,11,0.0,12.7
eta,0.05,206,0.0,0.07834,0.12577,485,30,0.033,0,0,1,0,0,0,5,0.0,6.0
eta,0.05,207,0.0,0.30685,0.33027,2812,30,0.233,2,3,2,2,2,0,7,0.0,10.2
eta,0.05,208,0.0,0.42528,0.43128,2964,30,0.9,19,5,3,11,2,0,7,0.0,16.9
eta,0.05,209,0.0,0.49106,0.48994,3843,30,0.6,12,2,4,6,1,2,8,0.0,14.1
eta,0.05,210,0.0,0.25232,0.28184,2748,30,0.067,0,1,1,0,1,0,6,0.0,8.0
eta,0.15,202,0.0,0.09614,0.14315,806,31,0.129,0,1,3,0,1,2,8,0.0,8.9
eta,0.15,201,0.0,0.48834,0.48737,3822,30,0.833,21,1,3,10,1,0,6,0.0,16.5
eta,0.15,203,0.0,0.24701,0.27654,2580,30,0.033,0,0,1,0,0,0,5,0.0,7.5
eta,0.15,204,0.0,0.3,0.32634,2255,30,0.467,6,4,4,4,4,1,10,0.0,13.1
eta,0.15,205,0.0,0.20756,0.25134,1923,30,0.5,6,6,3,5,6,0,11,0.0,12.6
eta,0.15,206,0.0,0.07834,0.12577,485,30,0.033,0,0,1,0,0,0,5,0.0,6.6
eta,0.15,207,0.0,0.30685,0.33027,2812,30,0.233,2,3,2,2,2,0,7,0.0,9.6
eta,0.15,208,0.0,0.42528,0.43128,2964,30,0.9,19,5,3,11,2,0,7,0.0,17.2
eta,0.15,209,0.0,0.49106,0.48994,3843,30,0.6,12,2,4,6,1,2,8,0.0,14.4
eta,0.15,210,0.0,0.25232,0.28184,2748,30,0.067,0,1,1,0,1,0,6,0.0,7.6
eta,0.25,202,0.0,0.09614,0.14315,806,31,0.129,0,1,3,0,1,2,8,0.0,9.0
eta,0.25,201,0.0,0.48834,0.48737,3822,30,0.833,21,1,3,10,1,0,6,0.0,16.7
eta,0.25,203,0.0,0.24701,0.27654,2580,30,0.033,0,0,1,0,0,0,5,0.0,7.3
eta,0.25,204,0.0,0.3,0.32634,2255,30,0.467,6,4,4,4,4,1,10,0.0,13.2
eta,0.25,205,0.0,0.20756,0.25134,1923,30,0.5,6,6,3,5,6,0,11,0.0,12.6
eta,0.25,206,0.0,0.07834,0.12577,485,30,0.033,0,0,1,0,0,0,5,0.0,6.7
eta,0.25,207,0.0,0.30685,0.33027,2812,30,0.233,2,3,2,2,2,0,7,0.0,10.4
eta,0.25,208,0.0,0.42528,0.43128,2964,30,0.9,19,5,3,11,2,0,7,0.0,17.6
eta,0.25,209,0.0,0.49106,0.48994,3843,30,0.6,12,2,4,6,1,2,8,0.0,14.3
eta,0.25,210,0.0,0.25232,0.28184,2748,30,0.067,0,1,1,0,1,0,6,0.0,8.1
eta,0.35,202,0.0,0.09614,0.14315,806,31,0.129,0,1,3,0,1,2,8,0.0,8.6
eta,0.35,201,0.0,0.48834,0.48737,3822,30,0.833,21,1,3,10,1,0,6,0.0,16.5
eta,0.35,203,0.0,0.24701,0.27654,2580,30,0.033,0,0,1,0,0,0,5,0.0,7.9
eta,0.35,204,0.0,0.3,0.32634,2255,30,0.467,6,4,4,4,4,1,10,0.0,12.6
eta,0.35,205,0.0,0.20756,0.25134,1923,30,0.5,6,6,3,5,6,0,11,0.0,13.7
eta,0.35,206,0.0,0.07834,0.12577,485,30,0.033,0,0,1,0,0,0,5,0.0,5.9
eta,0.35,207,0.0,0.30685,0.33027,2812,30,0.233,2,3,2,2,2,0,7,0.0,9.8
eta,0.35,208,0.0,0.42528,0.43128,2964,30,0.9,19,5,3,11,2,0,7,0.0,16.9
eta,0.35,209,0.0,0.49106,0.48994,3843,30,0.6,12,2,4,6,1,2,8,0.0,13.6
eta,0.35,210,0.0,0.25232,0.28184,2748,30,0.067,0,1,1,0,1,0,6,0.0,7.8
eta,0.45,202,0.0,0.09614,0.14315,806,31,0.129,0,1,3,0,1,2,8,0.0,9.0
eta,0.45,201,0.0,0.48834,0.48737,3822,30,0.833,21,1,3,10,1,0,6,0.0,16.9
