scenario,arm,seed,t_min,burned_cells,j_phys
S3,Test0,101,2.0,5,0.00109
S3,Test0,101,14.0,39,0.00833
S3,Test0,101,26.0,113,0.02304
S3,Test0,101,38.0,216,0.04144
S3,Test0,101,50.0,367,0.06894
S3,Test0,101,62.0,528,0.11295
S3,Test0,101,74.0,654,0.14461
S3,Test0,101,86.0,854,0.17769
S3,Test0,101,98.0,1051,0.20726
S3,Test0,101,110.0,1196,0.23978
S3,Test0,101,122.0,1408,0.27887
S3,Test0,101,134.0,1716,0.32579
S3,Test0,101,146.0,1904,0.36091
S3,Test0,101,158.0,2062,0.39894
S3,Test0,101,170.0,2170,0.41942
S3,Test0,101,182.0,2225,0.42916
S3,Test0,101,194.0,2251,0.4365
S3,Test0,101,206.0,2265,0.44071
S3,Test0,101,218.0,2268,0.44265
S3,Test0,101,230.0,2287,0.44833
S3,Test0,101,242.0,2361,0.45613
S3,Test0,101,254.0,2470,0.46398
S3,Test0,101,266.0,2593,0.48554
S3,Test0,101,278.0,2688,0.51255
S3,Test0,101,290.0,2772,0.53024
S3,Test0,101,302.0,2858,0.54507
S3,Test0,101,314.0,2900,0.55719
S3,Test0,101,326.0,3003,0.58159
S3,Test0,101,338.0,3030,0.58943
S3,Test0,101,350.0,3034,0.59337
S2,Test0,101,2.0,13,0.00281
S2,Test0,101,14.0,209,0.04003
S2,Test0,101,26.0,456,0.07648
S2,Test0,101,38.0,804,0.11475
S2,Test0,101,50.0,1017,0.13302
S2,Test0,101,62.0,1255,0.15013
S2,Test0,101,74.0,1527,0.16642
S2,Test0,101,86.0,1734,0.20778
S2,Test0,101,98.0,2053,0.32023
S2,Test0,101,110.0,2141,0.36676
S2,Test0,101,122.0,2201,0.38414
S2,Test0,101,134.0,2232,0.39712
S2,Test0,101,146.0,2304,0.41963
S2,Test0,101,158.0,2376,0.42786
S2,Test0,101,170.0,2390,0.43664
S2,Test0,101,182.0,2392,0.43846
S2,Test0,101,194.0,2393,0.4401
S2,Test0,101,206.0,2395,0.4417
S2,Test0,101,218.0,2395,0.44314
S2,Test0,101,230.0,2395,0.44451
S2,Test0,101,242.0,2396,0.44589
S2,Test0,101,254.0,2397,0.44887
S2,Test0,101,266.0,2397,0.45021
S2,Test0,101,278.0,2400,0.45975
S2,Test0,101,290.0,2414,0.46815
S2,Test0,101,302.0,2442,0.48099
S2,Test0,101,314.0,2475,0.49991
S2,Test0,101,326.0,2485,0.51011
S2,Test0,101,338.0,2491,0.51544
S2,Test0,101,350.0,2503,0.51934
S4,Test0,101,2.0,9,0.00196
S4,Test0,101,14.0,54,0.01142
S4,Test0,101,26.0,181,0.03544
S4,Test0,101,38.0,377,0.07036
S4,Test0,101,50.0,587,0.11998
S4,Test0,101,62.0,795,0.1812
S4,Test0,101,74.0,979,0.22832
S4,Test0,101,86.0,1242,0.2662
S4,Test0,101,98.0,1429,0.29978
S4,Test0,101,110.0,1621,0.3302
S4,Test0,101,122.0,1809,0.35642
S4,Test0,101,134.0,1903,0.374
S4,Test0,101,146.0,1995,0.39119
S4,Test0,101,158.0,2106,0.41363
S4,Test0,101,170.0,2191,0.42705
S4,Test0,101,182.0,2240,0.43455
S4,Test0,101,194.0,2254,0.44024
S4,Test0,101,206.0,2265,0.44375
S4,Test0,101,218.0,2267,0.44537
S4,Test0,101,230.0,2272,0.44707
S4,Test0,101,242.0,2294,0.44935
S4,Test0,101,254.0,2338,0.45237
S4,Test0,101,266.0,2427,0.46069
S4,Test0,101,278.0,2527,0.47335
S4,Test0,101,290.0,2674,0.49569
S4,Test0,101,302.0,2753,0.5119
S4,Test0,101,314.0,2781,0.51813
S4,Test0,101,326.0,2825,0.52639
S4,Test0,101,338.0,2855,0.5409
S4,Test0,101,350.0,2861,0.54699
S1,Test0,101,2.0,7,0.00152
S1,Test0,101,14.0,91,0.0187
S1,Test0,101,26.0,175,0.03418
S1,Test0,101,38.0,322,0.05791
S1,Test0,101,50.0,526,0.08522
S1,Test0,101,62.0,781,0.11258
S1,Test0,101,74.0,1057,0.13611
S1,Test0,101,86.0,1294,0.15266
S1,Test0,101,98.0,1445,0.16182
S1,Test0,101,110.0,1605,0.17057
S1,Test0,101,122.0,1701,0.17541
S1,Test0,101,134.0,1737,0.19499
S1,Test0,101,146.0,1756,0.21945
S1,Test0,101,158.0,1825,0.28137
S1,Test0,101,170.0,2038,0.35233
S1,Test0,101,182.0,2057,0.36524
S1,Test0,101,194.0,2069,0.38234
S1,Test0,101,206.0,2081,0.39298
S1,Test0,101,218.0,2161,0.416
S1,Test0,101,230.0,2242,0.43088
S1,Test0,101,242.0,2278,0.43406
S1,Test0,101,254.0,2305,0.4367
S1,Test0,101,266.0,2325,0.43897
S1,Test0,101,278.0,2341,0.44104
S1,Test0,101,290.0,2364,0.44323
S1,Test0,101,302.0,2393,0.44556
S1,Test0,101,314.0,2395,0.44696
S1,Test0,101,326.0,2395,0.44829
S1,Test0,101,338.0,2396,0.44965
S1,Test0,101,350.0,2396,0.45098
S5,Test0,101,2.0,9,0.00196
S5,Test0,101,14.0,54,0.01142
S5,Test0,101,26.0,181,0.03544
S5,Test0,101,38.0,377,0.07036
S5,Test0,101,50.0,587,0.11998
S5,Test0,101,62.0,795,0.1812
S5,Test0,101,74.0,979,0.22832
S5,Test0,101,86.0,1242,0.2662
S5,Test0,101,98.0,1429,0.29978
S5,Test0,101,110.0,1621,0.3302
S5,Test0,101,122.0,1809,0.35642
S5,Test0,101,134.0,1903,0.374
S5,Test0,101,146.0,1995,0.39119
S5,Test0,101,158.0,2106,0.41363
S5,Test0,101,170.0,2191,0.42705
S5,Test0,101,182.0,2240,0.43455
S5,Test0,101,194.0,2254,0.44024
S5,Test0,101,206.0,2265,0.44375
S5,Test0,101,218.0,2267,0.44537
S5,Test0,101,230.0,2272,0.44707
