scenario,arm,seed,profile,burned_ha,forest_ha,pop_affected,evacuated,out_min,success,t2h_j_burn,t2h_j_asset,t2h_j_pop,t2h_j_resp,t2h_j_delay,t2h_j_total,t2h_j_phys,t6h_j_burn,t6h_j_asset,t6h_j_pop,t6h_j_resp,t6h_j_delay,t6h_j_total,t6h_j_phys,end_j_burn,end_j_asset,end_j_pop,end_j_resp,end_j_delay,end_j_total,end_j_phys,rules_final,coverage,fs_frac,adapt_share,tried_1,tried_2,tried_3,acc_1,acc_2,acc_3,dj_1,dj_2,dj_3,genai_source,wall_s
S3,Test0,101,minimal,273.15,81.99,8654336.0,0.0,-1,0,0.47398,0.33744,0.00872,0.0,0.0,0.24122,0.27338,0.66608,0.99532,0.13319,0.0,0.0,0.52782,0.5982,0.66608,0.99532,0.13319,0.0,0.0,0.52782,0.5982,0,,,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,5.6
S2,Test0,101,minimal,227.61,117.45,3468264.0,0.0,-1,0,0.58958,0.53896,0.01762,0.0,0.0,0.33711,0.38205,0.62283,0.81951,0.12279,0.0,0.0,0.46033,0.52171,0.62283,0.81951,0.12279,0.0,0.0,0.46033,0.52171,0,,,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,6.3
S4,Test0,101,minimal,258.3,81.99,6672188.0,0.0,-1,0,0.54026,0.49678,0.02534,0.0,0.0,0.31247,0.35413,0.65354,0.87657,0.12567,0.0,0.0,0.48699,0.55192,0.65354,0.87657,0.12567,0.0,0.0,0.48699,0.55192,0,,,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,6.1
S1,Test0,101,minimal,215.64,110.7,2398609.0,0.0,-1,0,0.52386,0.0,0.0,0.0,0.0,0.15408,0.17462,0.61006,0.6526,0.09359,0.0,0.0,0.3989,0.45208,0.61006,0.6526,0.09359,0.0,0.0,0.3989,0.45208,0,,,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,6.8
S5,Test0,101,minimal,258.3,81.99,6672188.0,0.0,-1,0,0.54026,0.49678,0.02534,0.0,0.0,0.31247,0.35413,0.65354,0.87657,0.12567,0.0,0.0,0.48699,0.55192,0.65354,0.87657,0.12567,0.0,0.0,0.48699,0.55192,0,,,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,6.3
S1,Test0,102,minimal,268.11,132.3,4444444.0,0.0,-1,0,0.47362,0.00705,0.0,0.0,0.0,0.14137,0.16022,0.66637,1.0,0.11014,0.0,0.0,0.5225,0.59217,0.66637,1.0,0.11014,0.0,0.0,0.5225,0.59217,0,,,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,7.5
S2,Test0,102,minimal,256.32,131.31,3498084.0,0.0,-1,0,0.57011,0.1466,2e-05,0.0,0.0,0.2108,0.23891,0.6563,0.83564,0.09823,0.0,0.0,0.46769,0.53005,0.6563,0.83564,0.09823,0.0,0.0,0.46769,0.53005,0,,,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,8.1
S3,F5,101,minimal,12.78,4.14,0.0,0.0,-1,0,0.07254,0.0,0.0,0.02665,0.50339,0.05251,0.02418,0.08536,0.00156,0.0,0.0822,0.35478,0.05127,0.02897,0.08536,0.00156,0.0,0.0822,0.35478,0.05127,0.02897,5,0.0,0.484,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,46.1
S5,F5,101,minimal,51.39,16.38,593166.0,0.0,-1,0,0.21349,0.07583,0.00067,0.11885,0.3001,0.10994,0.09667,0.27288,0.12874,0.00154,0.35003,0.31873,0.15792,0.13439,0.27288,0.12874,0.00154,0.35003,0.31873,0.15792,0.13439,5,0.008,0.325,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,47.3
S4,F5,101,minimal,39.33,6.57,302380.0,0.0,-1,0,0.1587,0.02342,0.00013,0.08754,0.42955,0.08402,0.06075,0.22313,0.12193,0.00066,0.29643,0.31157,0.13745,0.11524,0.22313,0.12193,0.00066,0.29643,0.31157,0.13745,0.11524,5,0.0,0.267,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,47.9
S1,F5,101,minimal,113.76,57.42,40313.0,0.0,-1,0,0.23444,0.0,0.0,0.1273,0.41763,0.10101,0.07815,0.45216,0.02426,0.0001,0.67003,0.39023,0.20252,0.15884,0.45216,0.02426,0.0001,0.67003,0.39023,0.20252,0.15884,5,0.225,0.283,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,50.3
