design,kind,factor,delta,seed,traj,flip_rate,region_cycles,act_shift,d_burned_ha,d_j_total,d_j_phys,d_j_burn,d_j_asset,d_j_pop,burned_ha,j_total,seconds,shift_fire_threat_level,shift_asset_exposure_risk,shift_suppression_feasibility,shift_intervention_urgency,shift_evacuation_pressure
morris,mf,fire_intensity,-0.667,201,7_0,0.7692,52,0.22518,-23.31,-0.008145,-0.008913,-0.018841,-0.08967,0.000172,282.24,0.36009,9.5,0.31335,0.03244,0.38902,0.13138,0.03963
morris,feature,weather_severity,+0.667,201,7_0,0.8077,52,0.22366,-1.71,0.019408,0.022556,-0.001321,-0.00788,0.00034,303.84,0.387643,10.9,0.29339,0.04241,0.38902,0.11763,0.04828
morris,feature,access_road_status,+0.667,201,7_0,0.3077,52,0.21115,5.04,0.020158,0.023054,0.003841,-0.013238,0.000336,310.59,0.388393,7.6,0.2934,0.03919,0.35255,0.1201,0.01672
morris,mf,temporal_urgency,-0.667,201,7_0,0.8269,52,0.25824,-29.25,-0.032573,-0.037052,-0.023946,-0.177212,2.7e-05,276.3,0.335662,11.3,0.31379,0.04121,0.38902,0.33722,0.22799
morris,mf,resource_accessibility,+0.667,201,7_0,0.8269,52,0.24182,3.69,0.011425,0.013003,0.00282,-0.045347,2.9e-05,309.24,0.37966,11.1,0.31399,0.04087,0.32027,0.33724,0.22792
morris,weight,w_resp,+0.667,201,7_0,0.8269,52,0.24182,3.69,0.011091,0.013003,0.00282,-0.045347,2.9e-05,309.24,0.379326,11.9,0.31399,0.04087,0.32027,0.33724,0.22792
morris,feature,fire_intensity,-0.667,201,7_0,0.7692,52,0.22518,-23.31,-0.008145,-0.008913,-0.018841,-0.08967,0.000172,282.24,0.36009,10.2,0.31335,0.03244,0.38902,0.13138,0.03963
morris,weight,w_pop,+0.667,201,7_0,0.7692,52,0.22518,-23.31,-0.023821,-0.027445,-0.018841,-0.08967,0.000172,282.24,0.344414,9.9,0.31335,0.03244,0.38902,0.13138,0.03963
morris,feature,resource_accessibility,+0.667,201,7_0,0.7692,52,0.22518,-23.31,-0.023821,-0.027445,-0.018841,-0.08967,0.000172,282.24,0.344414,9.7,0.31335,0.03244,0.38902,0.13138,0.03963
morris,feature,fuel_load,+0.667,201,7_0,0.7308,52,0.23346,-8.82,0.012377,0.014414,-0.006915,0.042353,0.000276,296.73,0.380613,10.5,0.31255,0.03904,0.38902,0.13675,0.03345
morris,mf,weather_severity,-0.667,201,7_0,0.7692,52,0.22495,-24.03,-0.011121,-0.011962,-0.019453,-0.099125,0.000205,281.52,0.357114,9.9,0.31068,0.03343,0.38902,0.1297,0.04058
morris,weight,w_burn,+0.667,201,7_0,0.7692,52,0.22495,-24.03,-0.011121,-0.011962,-0.019453,-0.099125,0.000205,281.52,0.357114,10.6,0.31068,0.03343,0.38902,0.1297,0.04058
morris,feature,asset_exposure,+0.667,201,7_0,0.7692,52,0.22495,-24.03,-0.011121,-0.011962,-0.019453,-0.099125,0.000205,281.52,0.357114,10.1,0.31068,0.03343,0.38902,0.1297,0.04058
morris,weight,w_asset,+0.667,201,7_0,0.7692,52,0.22495,-24.03,-0.008063,-0.009451,-0.019453,-0.099125,0.000205,281.52,0.360172,10.8,0.31068,0.03343,0.38902,0.1297,0.04058
morris,mf,asset_exposure,-0.667,201,7_0,0.5577,52,0.22936,-9.27,0.015209,0.016857,-0.007275,-0.018753,0.000164,296.28,0.383444,9.0,0.31295,0.05418,0.38902,0.12304,0.05059
morris,feature,temporal_urgency,+0.667,201,7_0,0.8654,52,0.26156,1.8,0.025892,0.028729,0.001381,0.009613,-7.3e-05,307.35,0.394127,10.6,0.31369,0.0554,0.38902,0.33481,0.22851
morris,weight,w_delay,-0.667,201,7_0,0.7692,52,0.22518,-23.31,-0.005789,-0.008913,-0.018841,-0.08967,0.000172,282.24,0.362446,10.5,0.31335,0.03244,0.38902,0.13138,0.03963
morris,mf,fuel_load,+0.667,201,7_0,0.7692,52,0.22501,-4.86,0.024578,0.024954,-0.003779,0.003703,0.000178,300.69,0.392813,9.9,0.31178,0.03299,0.38902,0.13023,0.0403
morris,feature,ignition_proximity,-0.667,201,7_0,0.7692,52,0.22518,-23.31,-0.008145,-0.008913,-0.018841,-0.08967,0.000172,282.24,0.36009,10.4,0.31335,0.03244,0.38902,0.13138,0.03963
morris,feature,suppression_availability,+0.667,201,7_0,0.2885,52,0.23746,-4.23,-0.000435,-0.000183,-0.003285,-0.081396,5.1e-05,301.32,0.3678,9.5,0.31219,0.03401,0.43918,0.13082,0.03977
morris,mf,spread_potential,+0.667,201,7_0,0.2885,52,0.23746,-4.23,-0.000435,-0.000183,-0.003285,-0.081396,5.1e-05,301.32,0.3678,10.8,0.31219,0.03401,0.43918,0.13082,0.03977
morris,feature,spread_potential,+0.667,201,7_0,0.3269,52,0.23181,-46.89,-0.030857,-0.035348,-0.039909,-0.150028,0.00034,258.66,0.337378,10.6,0.29424,0.04111,0.43918,0.12149,0.04706
morris,mf,ignition_proximity,-0.667,201,7_0,0.7692,52,0.22518,-23.31,-0.008145,-0.008913,-0.018841,-0.08967,0.000172,282.24,0.36009,11.0,0.31335,0.03244,0.38902,0.13138,0.03963
morris,mf,access_road_status,+0.667,201,7_0,0.7692,52,0.22518,-23.31,-0.008145,-0.008913,-0.018841,-0.08967,0.000172,282.24,0.36009,10.3,0.31335,0.03244,0.38902,0.13138,0.03963
morris,mf,suppression_availability,+0.667,201,7_0,0.3654,52,0.2264,-15.93,-0.027975,-0.032007,-0.012676,-0.175754,0.000171,289.62,0.34026,9.4,0.31236,0.03456,0.39298,0.12987,0.04107
morris,weight,w_pop,+0.667,201,7_1,0.1923,52,0.12622,-4.14,-0.012155,-0.015395,-0.003215,-0.026633,0.000316,301.41,0.356081,9.8,0.04095,0.04183,0.35752,0.01887,0.01903
