design,kind,factor,delta,seed,traj,flip_rate,region_cycles,act_shift,d_burned_ha,d_j_total,d_j_phys,d_j_burn,d_j_asset,d_j_pop,burned_ha,j_total,seconds,shift_fire_threat_level,shift_asset_exposure_risk,shift_suppression_feasibility,shift_intervention_urgency,shift_evacuation_pressure
morris,mf,resource_accessibility,+0.667,201,11_0,0.9231,52,0.17166,-11.25,0.021976,0.023838,-0.008865,-0.061934,-0.003295,294.3,0.390211,10.8,0.13391,0.27027,0.09,0.20552,0.15403
morris,feature,temporal_urgency,-0.667,201,11_0,0.9231,52,0.17166,-11.25,0.021976,0.023838,-0.008865,-0.061934,-0.003295,294.3,0.390211,11.3,0.13391,0.27027,0.09,0.20552,0.15403
morris,feature,fuel_load,-0.667,201,11_0,0.9615,52,0.16915,-5.85,0.014242,0.015596,-0.004559,-0.0929,-0.004678,299.7,0.382477,10.9,0.14309,0.27101,0.09,0.20912,0.15436
morris,mf,fuel_load,-0.667,201,11_0,0.9038,52,0.16869,8.37,0.046266,0.051746,0.006337,0.007367,-0.004803,313.92,0.414501,10.9,0.14491,0.27105,0.09,0.20992,0.15438
morris,feature,spread_potential,+0.667,201,11_0,0.8462,52,0.1583,-4.32,0.044193,0.049454,-0.003356,0.011859,-0.00305,301.23,0.412428,11.0,0.10684,0.2546,0.09,0.18906,0.14698
morris,mf,weather_severity,-0.667,201,11_0,0.6538,52,0.16998,-45.45,-0.01003,-0.010192,-0.038559,-0.130801,-0.001972,260.1,0.358205,10.9,0.12946,0.25866,0.09,0.19942,0.14882
morris,weight,w_delay,+0.667,201,11_0,0.9231,52,0.17166,-11.25,0.019239,0.023838,-0.008865,-0.061934,-0.003295,294.3,0.387474,11.6,0.13391,0.27027,0.09,0.20552,0.15403
morris,feature,asset_exposure,+0.667,201,11_0,0.7308,52,0.16594,-15.03,0.02982,0.03287,-0.011937,-0.028997,-0.003306,290.52,0.398055,11.5,0.13278,0.24752,0.09,0.18896,0.13162
morris,feature,resource_accessibility,-0.667,201,11_0,0.6731,52,0.17538,-4.59,0.028243,0.031144,-0.003567,-0.045938,-0.003265,300.96,0.396478,9.7,0.13355,0.24798,0.12673,0.18942,0.13181
morris,mf,asset_exposure,-0.667,201,11_0,0.6731,52,0.17538,-4.59,0.028243,0.031144,-0.003567,-0.045938,-0.003265,300.96,0.396478,11.8,0.13355,0.24798,0.12673,0.18942,0.13181
