design,kind,factor,delta,seed,traj,flip_rate,region_cycles,act_shift,d_burned_ha,d_j_total,d_j_phys,d_j_burn,d_j_asset,d_j_pop,burned_ha,j_total,seconds,shift_fire_threat_level,shift_asset_exposure_risk,shift_suppression_feasibility,shift_intervention_urgency,shift_evacuation_pressure
oat,feature,fire_intensity,+0.250,201,,0.0,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.55,0.368235,10.1,0.0,0.0,0.0,0.0,0.0
oat,feature,fire_intensity,-0.250,201,,0.0192,52,0.02349,12.33,0.021407,0.024249,0.009261,0.063431,5.6e-05,317.88,0.389642,9.1,0.07003,0.00159,0.0,0.02786,0.00072
oat,feature,spread_potential,+0.250,201,,0.1923,52,0.02255,-10.89,-0.004695,-0.005151,-0.008575,-0.007092,0.000214,294.66,0.36354,9.4,0.03885,0.03202,0.0,0.02175,0.01454
oat,feature,spread_potential,-0.250,201,,0.1154,52,0.0296,-23.31,-0.011384,-0.012827,-0.018841,-0.01962,-2.1e-05,282.24,0.356851,8.9,0.05663,0.03755,0.0,0.03583,0.01693
oat,feature,weather_severity,+0.250,201,,0.5385,52,0.02758,7.65,-0.00334,-0.003453,0.0058,-0.01639,0.00023,313.2,0.364895,9.3,0.03763,0.03513,0.0,0.02158,0.01584
oat,feature,weather_severity,-0.250,201,,0.3654,52,0.02308,-5.4,0.016323,0.018846,-0.004204,0.060752,-1.1e-05,300.15,0.384559,10.0,0.03008,0.03281,0.0,0.02353,0.01476
oat,feature,ignition_proximity,+0.250,201,,0.0,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.55,0.368235,10.0,0.0,0.0,0.0,0.0,0.0
oat,feature,ignition_proximity,-0.250,201,,0.2885,52,0.02,4.5,0.000441,0.000766,0.003433,-0.001024,-0.000111,310.05,0.368676,9.2,0.01477,0.0481,0.0,0.02275,0.02165
oat,feature,fuel_load,+0.250,201,,0.0192,52,0.01023,5.22,-0.006117,-0.006923,0.003977,-0.024742,-3e-06,310.77,0.362119,9.5,0.01646,0.00196,0.0,0.00618,0.0009
oat,feature,fuel_load,-0.250,201,,0.0962,52,0.01196,-9.27,0.008343,0.009518,-0.007275,0.03601,-0.000182,296.28,0.376578,9.5,0.01765,0.00494,0.0,0.00854,0.00222
oat,feature,asset_exposure,+0.250,201,,0.1731,52,0.02565,-16.47,-0.03173,-0.03464,-0.013121,-0.09097,0.00017,289.08,0.336505,9.9,0.01093,0.06633,0.0,0.02351,0.02991
oat,feature,asset_exposure,-0.250,201,,0.5192,52,0.05232,1.62,-0.015647,-0.017462,0.001243,-0.052715,-0.000914,307.17,0.352588,9.4,0.00177,0.15825,0.0,0.056,0.07115
oat,feature,resource_accessibility,+0.250,201,,0.0,52,0.01073,-24.75,-0.020663,-0.021712,-0.020067,-0.045071,2e-06,280.8,0.347573,9.9,0.00162,0.00097,0.0388,0.00102,0.00046
oat,feature,resource_accessibility,-0.250,201,,0.0192,52,0.01824,1.08,-0.013412,-0.015325,0.00083,-0.046805,-0.0,306.63,0.354824,9.0,0.00079,0.00045,0.07118,0.00047,0.00021
oat,feature,access_road_status,+0.250,201,,0.0,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.55,0.368235,10.8,0.0,0.0,0.0,0.0,0.0
oat,feature,access_road_status,-0.250,201,,0.5577,52,0.02006,-24.3,-0.02593,-0.02952,-0.019683,-0.068868,-1.1e-05,281.25,0.342305,10.3,0.00091,0.00751,0.05625,0.00279,0.04112
oat,feature,suppression_availability,+0.250,201,,0.1538,52,0.0142,-16.38,-0.04508,-0.050976,-0.013047,-0.139863,-1.7e-05,289.17,0.323155,9.7,0.00093,0.01048,0.04183,0.00401,0.00472
oat,feature,suppression_availability,-0.250,201,,0.0769,52,0.02702,10.53,0.008446,0.009143,0.007938,0.019463,2.9e-05,316.08,0.376681,8.7,0.00095,0.00481,0.10027,0.00208,0.0022
oat,feature,temporal_urgency,+0.250,201,,0.0,52,0.00169,-26.73,-0.035303,-0.040082,-0.021764,-0.098495,1.4e-05,278.82,0.332932,10.7,0.0011,0.00174,0.0,0.00493,0.00544
oat,feature,temporal_urgency,-0.250,201,,0.2115,52,0.01728,-4.41,-0.028562,-0.03204,-0.003426,-0.092507,-0.000186,301.14,0.339673,11.4,0.00079,0.02072,0.0,0.06306,0.07618
oat,feature,fire_intensity,+0.250,202,,0.0,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.21,0.141938,10.3,0.0,0.0,0.0,0.0,0.0
oat,feature,fire_intensity,-0.250,202,,0.2115,52,0.0253,12.06,0.013902,0.014937,0.031171,0.013612,2.8e-05,90.27,0.15584,8.5,0.05241,0.02492,0.0,0.02819,0.01096
oat,feature,spread_potential,+0.250,202,,0.3077,52,0.01772,-0.18,-0.00557,-0.006206,-0.000487,-0.01815,1.8e-05,78.03,0.136368,9.7,0.0369,0.01388,0.0,0.01958,0.00696
oat,feature,spread_potential,-0.250,202,,0.0769,52,0.01849,-1.35,-0.001412,-0.001983,-0.003672,-0.002269,-1e-05,76.86,0.140526,10.4,0.03874,0.01826,0.0,0.02125,0.00756
oat,feature,weather_severity,+0.250,202,,0.25,52,0.02591,-11.34,-0.015419,-0.021962,-0.0321,-0.034031,0.000245,66.87,0.126519,10.6,0.04039,0.02889,0.0,0.0225,0.01107
oat,feature,weather_severity,-0.250,202,,0.2692,52,0.02348,32.13,0.032528,0.040417,0.077285,0.044013,-4.8e-05,110.34,0.174466,9.8,0.03269,0.03114,0.0,0.02148,0.01245
oat,feature,ignition_proximity,+0.250,202,,0.0577,52,0.00129,0.0,-0.000131,1e-06,0.0,0.0,4e-06,78.21,0.141806,9.6,0.00116,0.00238,0.0,0.00086,0.00107
oat,feature,ignition_proximity,-0.250,202,,0.3077,52,0.0137,-6.84,-0.008389,-0.016214,-0.019014,-0.029493,-0.000133,71.37,0.133549,7.4,0.01991,0.02062,0.0,0.0161,0.011
