block,param,value,arm,seed,n_ign,pool,n_sensors,n_regions,j_threshold,eta,attention_thr,cycle_min,horizon_min,revision_budget,w_burn,w_asset,w_pop,j_phys,j_total,burned,burned_ha,evacuated,affected,out_min,fs_frac,tried_3,acc_3,rules_final,seconds
calibration,freeburn,1,freeburn,202,1,1.0,1.0,4,0.35,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.53647,0.47336,3151,283.59,0.0,3149.0,-1,,0,0,0,1.3
calibration,freeburn,1,freeburn,201,1,1.0,1.0,4,0.35,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.52352,0.46193,3728,335.52,0.0,3403.0,-1,,0,0,0,1.4
calibration,grid,1|0.1,adaptive,201,1,0.1,1.0,4,0.35,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.00128,0.03098,8,0.72,0.0,0.0,54.0,0.1,2,1,6,3.1
calibration,grid,1|0.25,adaptive,201,1,0.25,1.0,4,0.35,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.00128,0.03102,8,0.72,0.0,0.0,54.0,0.2,2,1,7,3.2
calibration,grid,1|0.1,adaptive,202,1,0.1,1.0,4,0.35,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.44293,0.44082,3003,270.27,7776.0,324.0,-1,0.1,3,0,7,17.2
calibration,grid,1|0.5,adaptive,201,1,0.5,1.0,4,0.35,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.00128,0.03353,8,0.72,0.0,0.0,54.0,0.2,2,1,7,3.0
calibration,grid,1|0.25,adaptive,202,1,0.25,1.0,4,0.35,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.08697,0.12877,702,63.18,0.0,0.0,-1,0.2576,3,0,7,16.2
calibration,grid,1|1.0,adaptive,201,1,1.0,1.0,4,0.35,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.00128,0.03342,8,0.72,0.0,0.0,54.0,0.25,2,1,7,3.1
calibration,grid,1|0.5,adaptive,202,1,0.5,1.0,4,0.35,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.09984,0.13194,744,66.96,0.0,9.0,-1,0.4643,7,3,9,14.1
calibration,freeburn,2,freeburn,201,2,1.0,1.0,4,0.35,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.56959,0.50258,3953,355.77,0.0,3325.0,-1,,0,0,0,1.3
calibration,freeburn,2,freeburn,202,2,1.0,1.0,4,0.35,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.53675,0.4736,3151,283.59,0.0,3074.0,-1,,0,0,0,1.2
calibration,grid,1|1.0,adaptive,202,1,1.0,1.0,4,0.35,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.09881,0.10963,666,59.94,0.0,29.0,304.0,0.463,7,4,10,12.5
calibration,grid,2|0.1,adaptive,202,2,0.1,1.0,4,0.35,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.44293,0.44067,3012,271.08,7763.0,268.0,-1,0.1643,3,0,6,17.8
calibration,grid,2|0.1,adaptive,201,2,0.1,1.0,4,0.35,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.4914,0.4833,3824,344.16,2927.0,1665.0,-1,0.1083,3,0,6,18.2
calibration,grid,2|0.25,adaptive,201,2,0.25,1.0,4,0.35,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.18786,0.22955,1765,158.85,0.0,127.0,-1,0.2,3,1,8,16.6
calibration,grid,2|0.25,adaptive,202,2,0.25,1.0,4,0.35,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.14611,0.19282,1121,100.89,0.0,54.0,-1,0.2812,6,3,9,17.8
calibration,grid,2|0.5,adaptive,202,2,0.5,1.0,4,0.35,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.09566,0.11885,681,61.29,0.0,21.0,-1,0.4766,8,2,8,14.9
calibration,grid,2|0.5,adaptive,201,2,0.5,1.0,4,0.35,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.20997,0.23115,2019,181.71,0.0,192.0,-1,0.2578,5,1,9,18.3
calibration,grid,2|1.0,adaptive,201,2,1.0,1.0,4,0.35,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.09766,0.1046,706,63.54,0.0,175.0,116.0,0.2727,3,1,6,6.1
calibration,freeburn,4,freeburn,201,4,1.0,1.0,4,0.35,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.57946,0.51129,3954,355.86,0.0,3221.0,-1,,0,0,0,1.4
calibration,freeburn,4,freeburn,202,4,1.0,1.0,4,0.35,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.54045,0.47687,3151,283.59,0.0,3098.0,-1,,0,0,0,1.3
calibration,grid,2|1.0,adaptive,202,2,1.0,1.0,4,0.35,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.08145,0.10604,643,57.87,0.0,0.0,-1,0.4848,6,1,7,15.5
calibration,grid,4|0.1,adaptive,201,4,0.1,1.0,4,0.35,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.49012,0.48088,3827,344.43,2927.0,1595.0,-1,0.2143,3,0,6,19.2
calibration,grid,4|0.1,adaptive,202,4,0.1,1.0,4,0.35,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.44992,0.44653,3020,271.8,7776.0,308.0,-1,0.2143,3,0,6,19.8
calibration,grid,4|0.25,adaptive,201,4,0.25,1.0,4,0.35,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.46338,0.46593,3802,342.18,0.0,1601.0,-1,0.325,3,0,8,16.5
calibration,grid,4|0.25,adaptive,202,4,0.25,1.0,4,0.35,0.6,0.35,12.0,24.0,3,1.0,1.0,1.0,0.14886,0.19579,1234,111.06,0.0,30.0,-1,0.0857,3,0,7,18.7
