scenario,arm,n,burned_ha,burned_ci,forest_ha,pop_affected,evacuated,out_min,success_pct,ext
S1,Test0,10,243.3,16.1,111.1,3117.0,0.0,-,0.0,> 360 (0/10)
S1,F5,10,96.7,53.6,41.0,253.0,0.0,63.0,20.0,> 360 (2/10)
S1,F5Ev,10,84.7,46.2,36.0,206.0,166.0,81.0,30.0,> 360 (3/10)
S1,F5EvAI,5,22.8,24.5,10.4,54.0,296.0,81.0,60.0,116 (3/5)
S2,Test0,10,242.2,23.7,108.3,3318.0,0.0,-,0.0,> 360 (0/10)
S2,F5,10,157.3,49.3,67.5,727.0,0.0,-,0.0,> 360 (0/10)
S2,F5Ev,10,154.6,39.9,67.1,633.0,0.0,-,0.0,> 360 (0/10)
S2,F5EvAI,5,84.8,37.6,35.5,314.0,0.0,-,0.0,> 360 (0/5)
S3,Test0,10,178.9,37.4,42.7,4868.0,0.0,-,0.0,> 360 (0/10)
S3,F5,10,28.0,13.9,3.0,261.0,0.0,204.0,10.0,> 360 (1/10)
S3,F5Ev,10,30.5,12.0,6.6,207.0,0.0,168.0,50.0,338 (5/10)
S3,F5EvAI,5,11.4,7.4,5.5,57.0,0.0,246.0,60.0,354 (3/5)
S4,Test0,10,218.1,23.7,48.2,6202.0,0.0,-,0.0,> 360 (0/10)
S4,F5,10,66.2,25.8,6.9,889.0,0.0,-,0.0,> 360 (0/10)
S4,F5Ev,10,54.6,18.9,8.9,739.0,0.0,187.0,30.0,> 360 (3/10)
S4,F5EvAI,5,35.7,17.0,6.5,501.0,276.0,204.0,60.0,262 (3/5)
S5,Test0,10,218.1,23.7,48.2,6202.0,0.0,-,0.0,> 360 (0/10)
S5,F5,10,69.3,22.7,8.1,916.0,0.0,-,0.0,> 360 (0/10)
S5,F5Ev,10,66.3,19.7,9.7,771.0,0.0,209.0,30.0,> 360 (3/10)
S5,F5EvAI,5,39.3,10.0,5.6,573.0,0.0,209.0,60.0,258 (3/5)
