scenario,arm,n,j_burn,j_asset,j_pop,j_resp,j_delay,j_total,j_phys
S1,Test0,10,0.64,0.804,0.107,0.0,0.0,0.456,0.517
S1,F5,10,0.337,0.093,0.002,0.445,0.417,0.177,0.144
S1,F5Ev,10,0.317,0.07,0.002,0.427,0.386,0.162,0.13
S1,F5EvAI,5,0.123,0.028,0.001,0.207,0.499,0.086,0.051
S2,Test0,10,0.636,0.839,0.131,0.0,0.0,0.473,0.536
S2,F5,10,0.502,0.248,0.011,0.766,0.235,0.283,0.254
S2,F5Ev,10,0.51,0.224,0.01,0.816,0.181,0.277,0.248
S2,F5EvAI,5,0.364,0.078,0.002,0.775,0.274,0.192,0.148
S3,Test0,10,0.565,0.639,0.089,0.0,0.0,0.38,0.431
S3,F5,10,0.163,0.056,0.001,0.082,0.339,0.09,0.073
S3,F5Ev,10,0.179,0.054,0.0,0.085,0.213,0.086,0.078
S3,F5EvAI,5,0.078,0.017,0.0,0.066,0.223,0.045,0.032
S4,Test0,10,0.624,0.808,0.137,0.0,0.0,0.461,0.523
S4,F5,10,0.312,0.185,0.003,0.31,0.304,0.183,0.167
S4,F5Ev,10,0.279,0.142,0.002,0.228,0.195,0.149,0.141
S4,F5EvAI,5,0.209,0.094,0.003,0.168,0.227,0.113,0.102
S5,Test0,10,0.624,0.808,0.137,0.0,0.0,0.461,0.523
S5,F5,10,0.33,0.195,0.003,0.311,0.293,0.191,0.176
S5,F5Ev,10,0.323,0.156,0.002,0.286,0.19,0.169,0.16
S5,F5EvAI,5,0.229,0.115,0.002,0.199,0.207,0.125,0.115
