scenario,arm,seed,source,package,gate,accepted,dJ
S1,F5EvAI,201,template,False,,False,0.0
S1,F5EvAI,201,template,False,,False,0.0
S2,F5EvAI,201,template,False,,False,0.0
S2,F5EvAI,201,template,False,,True,-0.00266
S2,F5EvAI,201,template,False,G2 duplicate cell,False,0.0
S3,F5EvAI,201,template,False,,False,0.0
S3,F5EvAI,201,template,False,,False,0.0
S4,F5EvAI,201,template,False,,False,0.0
S4,F5EvAI,201,template,False,,False,0.0
S4,F5EvAI,201,template,True,,True,-0.00303
S5,F5EvAI,201,template,False,,False,0.0
S5,F5EvAI,201,template,False,,True,0.00068
S5,F5EvAI,201,template,True,,True,0.00542
S5,F5EvAI,201,template,False,,True,-0.0003
S5,F5EvAI,201,template,False,,True,-0.00913
S1,F5EvAI,202,template,False,,False,0.0
S1,F5EvAI,202,template,False,,True,-0.01325
S1,F5EvAI,202,template,True,,True,-0.00765
S1,F5EvAI,202,template,False,,True,-0.00239
S1,F5EvAI,202,template,False,,False,0.0
S1,F5EvAI,202,template,True,G2 package (name empty or taken),False,0.0
S1,F5EvAI,202,template,False,,False,0.0
S2,F5EvAI,202,template,False,,False,0.0
S2,F5EvAI,202,template,False,,False,0.0
S2,F5EvAI,202,template,False,G2 duplicate cell,False,0.0
S3,F5EvAI,202,template,False,,False,0.0
S3,F5EvAI,202,template,False,,True,-0.00641
S3,F5EvAI,202,template,True,,True,-0.00312
S3,F5EvAI,202,template,False,G2 duplicate cell,False,0.0
S3,F5EvAI,202,template,False,G2 duplicate cell,False,0.0
S3,F5EvAI,202,template,True,G2 package (name empty or taken),False,0.0
S4,F5EvAI,202,template,False,,False,0.0
S4,F5EvAI,202,template,False,,True,-0.00472
S4,F5EvAI,202,template,True,,True,-0.01347
S4,F5EvAI,202,template,False,,False,0.0
S5,F5EvAI,202,template,False,,False,0.0
S5,F5EvAI,202,template,False,,True,-0.00536
S5,F5EvAI,202,template,True,,True,-0.00121
S5,F5EvAI,202,template,False,,True,-0.00214
S5,F5EvAI,202,template,False,G2 duplicate cell,False,0.0
S1,F5EvAI,203,template,False,,False,0.0
S1,F5EvAI,203,template,False,,False,0.0
S1,F5EvAI,203,template,True,,True,-0.00203
S1,F5EvAI,203,template,False,,True,-0.00088
S1,F5EvAI,203,template,False,,False,0.0
S1,F5EvAI,203,template,True,G2 package (name empty or taken),False,0.0
S1,F5EvAI,203,template,False,G2 duplicate cell,False,0.0
S2,F5EvAI,203,template,False,,False,0.0
S2,F5EvAI,203,template,False,,False,0.0
S2,F5EvAI,203,template,False,,False,0.0
S3,F5EvAI,203,template,False,,False,0.0
S3,F5EvAI,203,template,False,,False,0.0
S4,F5EvAI,203,template,False,,False,0.0
S4,F5EvAI,203,template,False,,True,-0.01824
S4,F5EvAI,203,template,False,,False,0.0
S5,F5EvAI,203,template,False,,False,0.0
S5,F5EvAI,203,template,False,,True,-0.01881
S5,F5EvAI,203,template,True,,True,-0.02449
S5,F5EvAI,203,template,False,,True,0.00922
S5,F5EvAI,203,template,False,G2 duplicate cell,False,0.0
S5,F5EvAI,203,template,True,G2 package (name empty or taken),False,0.0
S1,F5EvAI,204,template,False,,False,0.0
S1,F5EvAI,204,template,False,,False,0.0
S1,F5EvAI,204,template,False,,False,0.0
S2,F5EvAI,204,template,False,,False,0.0
S2,F5EvAI,204,template,False,,False,0.0
S2,F5EvAI,204,template,False,,False,0.0
S3,F5EvAI,204,template,False,,False,0.0
S3,F5EvAI,204,template,False,,True,-0.00369
S3,F5EvAI,204,template,False,G2 duplicate cell,False,0.0
S3,F5EvAI,204,template,True,,False,0.0
S3,F5EvAI,204,template,False,,False,0.0
S4,F5EvAI,204,template,False,,False,0.0
S4,F5EvAI,204,template,False,,True,-0.0517
S4,F5EvAI,204,template,True,,True,-0.00286
S5,F5EvAI,204,template,False,,False,0.0
S5,F5EvAI,204,template,False,,True,-0.05186
S5,F5EvAI,204,template,True,,True,-0.00061
S1,F5EvAI,205,template,False,,False,0.0
S1,F5EvAI,205,template,False,,True,-0.03244
S1,F5EvAI,205,template,False,,False,0.0
S1,F5EvAI,205,template,False,,False,0.0
S1,F5EvAI,205,template,False,,False,0.0
S2,F5EvAI,205,template,False,,False,0.0
S2,F5EvAI,205,template,False,,True,-0.03162
S2,F5EvAI,205,template,False,,False,0.0
S2,F5EvAI,205,template,False,,False,0.0
S2,F5EvAI,205,template,False,,False,0.0
S3,F5EvAI,205,template,False,,False,0.0
S3,F5EvAI,205,template,False,,False,0.0
S3,F5EvAI,205,template,False,,False,0.0
S4,F5EvAI,205,template,False,,False,0.0
S4,F5EvAI,205,template,False,,True,-0.00189
S4,F5EvAI,205,template,True,,True,-0.00445
S4,F5EvAI,205,template,False,,False,0.0
S4,F5EvAI,205,template,False,,False,0.0
S1,F5EvAI,206,template,False,,False,0.0
S1,F5EvAI,206,template,False,,False,0.0
S5,F5EvAI,205,template,False,,False,0.0
S5,F5EvAI,205,template,False,,True,-0.00108
S5,F5EvAI,205,template,True,,True,-0.01168
S5,F5EvAI,205,template,False,G2 duplicate cell,False,0.0
