scenario,arm,seed,profile,burned_ha,forest_ha,pop_affected,evacuated,out_min,success,t2h_j_burn,t2h_j_asset,t2h_j_pop,t2h_j_resp,t2h_j_delay,t2h_j_total,t2h_j_phys,t6h_j_burn,t6h_j_asset,t6h_j_pop,t6h_j_resp,t6h_j_delay,t6h_j_total,t6h_j_phys,end_j_burn,end_j_asset,end_j_pop,end_j_resp,end_j_delay,end_j_total,end_j_phys,rules_final,coverage,fs_frac,adapt_share,tried_1,tried_2,tried_3,acc_1,acc_2,acc_3,dj_1,dj_2,dj_3,genai_source,wall_s
S1,F5,201,minimal,0.54,0.54,0.0,0.0,64.0,1,,,,,,,,,,,,,,,0.0038,0.0,0.0,0.00413,0.65796,0.04007,0.00127,5,0.208,0.25,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,1.9
S1,Test0,201,minimal,282.78,139.77,4444444.0,0.0,-1,0,0.4065,0.04202,8e-05,0.0,0.0,0.13194,0.14953,0.61514,1.0,0.09091,0.0,0.0,0.50178,0.56868,0.66667,1.0,0.23098,0.0,0.0,0.55813,0.63255,0,,,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,3.0
S1,F5Ev,201,minimal,0.54,0.54,0.0,0.0,64.0,1,,,,,,,,,,,,,,,0.0038,0.0,0.0,0.00416,0.63101,0.03848,0.00127,6,0.208,0.0,0.4915,1,2,0,1,1,0,0.0251,0.0,0.0,,2.8
S1,F5EvAI,201,minimal,0.54,0.54,0.0,0.0,64.0,1,,,,,,,,,,,,,,,0.0038,0.0,0.0,0.00413,0.65796,0.04007,0.00127,5,0.208,0.25,0.0,0,1,2,0,0,0,0.0,0.0,0.0,template,3.4
S2,Test0,201,minimal,282.78,139.77,4444444.0,0.0,-1,0,0.60208,0.25028,0.01571,0.0,0.0,0.25531,0.28935,0.66667,1.0,0.17582,0.0,0.0,0.54191,0.61416,0.66667,1.0,0.25724,0.0,0.0,0.56586,0.6413,0,,,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,3.0
S2,F5,201,minimal,250.56,127.26,1614091.0,0.0,-1,0,0.29897,0.09526,0.00125,0.16609,0.31169,0.14442,0.13183,0.61476,0.33059,0.007,0.74036,0.13493,0.33159,0.31745,0.63927,0.42071,0.00991,1.0,0.14994,0.38232,0.35663,5,0.396,0.238,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,21.7
S2,F5Ev,201,minimal,251.91,128.25,2017315.0,0.0,-1,0,0.31577,0.1158,0.00074,0.16586,0.30138,0.15463,0.1441,0.60959,0.34834,0.00779,0.76507,0.12857,0.3366,0.32191,0.6405,0.4577,0.01061,1.0,0.13475,0.39287,0.3696,10,0.417,0.017,0.3865,13,24,0,5,5,0,-0.2687,-0.1135,0.0,,28.5
S3,Test0,201,minimal,265.59,71.01,8864626.0,0.0,-1,0,0.36794,0.11687,0.00948,0.0,0.0,0.14538,0.16476,0.49227,0.50001,0.04967,0.0,0.0,0.30646,0.34732,0.66382,1.0,0.18619,0.0,0.0,0.54412,0.61667,0,,,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,2.4
S3,F5,201,minimal,64.62,2.07,426822.0,0.0,-1,0,0.3233,0.05727,0.00078,0.07272,0.30423,0.13433,0.12711,0.32452,0.05727,0.00112,0.16105,0.42931,0.14735,0.12763,0.32452,0.05727,0.00112,0.1833,0.90853,0.17684,0.12763,5,0.0,0.283,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,17.9
S2,F5EvAI,201,minimal,253.35,130.32,1600594.0,0.0,-1,0,0.34019,0.11113,0.00118,0.14137,0.20498,0.15346,0.15084,0.63277,0.34834,0.01086,0.74065,0.1043,0.34146,0.33066,0.64181,0.4506,0.01503,1.0,0.10694,0.39083,0.36915,9,0.465,0.119,0.3964,18,12,3,10,3,1,-0.5934,-0.1497,-0.0027,template,32.1
