pair,scenario,burned_ha_delta,burned_ha_ci,burned_ha_wins_pct,end_j_phys_delta,end_j_phys_ci,end_j_phys_wins_pct,end_j_total_delta,end_j_total_ci,end_j_total_wins_pct
T_DisasterAware - T_0,S1,-183.551,19.971,100.0,-0.485,0.031,100.0,-0.37,0.031,100.0
T_DisasterAware - T_0,S2,-98.188,19.156,100.0,-0.354,0.031,100.0,-0.245,0.028,98.0
T_DisasterAware - T_0,S3,-208.44,9.631,100.0,-0.499,0.021,100.0,-0.418,0.019,100.0
T_DisasterAware - T_0,S4,-192.755,8.039,100.0,-0.473,0.016,100.0,-0.379,0.016,100.0
T_DisasterAware - T_0,S5,-190.778,8.18,100.0,-0.468,0.017,100.0,-0.376,0.017,100.0
T_DisasterAware - T_0,Avg,-174.743,7.911,100.0,-0.456,0.013,100.0,-0.357,0.013,100.0
T_DisasterAware - T_F5,S1,-14.776,12.22,50.0,-0.03,0.019,54.0,-0.033,0.019,64.0
T_DisasterAware - T_F5,S2,-13.201,14.351,62.0,-0.025,0.024,64.0,-0.025,0.022,68.0
T_DisasterAware - T_F5,S3,-6.545,5.486,62.0,-0.017,0.013,68.0,-0.024,0.012,84.0
T_DisasterAware - T_F5,S4,-2.779,5.591,52.0,-0.012,0.012,60.0,-0.02,0.012,70.0
T_DisasterAware - T_F5,S5,-5.679,4.899,64.0,-0.017,0.011,66.0,-0.024,0.011,72.0
T_DisasterAware - T_F5,Avg,-8.596,4.203,58.0,-0.02,0.007,62.0,-0.025,0.007,72.0
T_DisasterAware - T_F5+Ev,S1,-9.833,13.379,46.0,-0.013,0.021,48.0,-0.011,0.021,50.0
T_DisasterAware - T_F5+Ev,S2,-9.254,12.177,56.0,-0.012,0.019,64.0,-0.012,0.016,60.0
T_DisasterAware - T_F5+Ev,S3,-2.848,4.534,58.0,-0.007,0.011,60.0,-0.005,0.01,54.0
T_DisasterAware - T_F5+Ev,S4,-5.902,4.187,74.0,-0.011,0.01,60.0,-0.005,0.009,46.0
T_DisasterAware - T_F5+Ev,S5,-6.674,4.214,72.0,-0.012,0.008,68.0,-0.008,0.009,58.0
T_DisasterAware - T_F5+Ev,Avg,-6.902,3.896,61.0,-0.011,0.007,60.0,-0.008,0.006,54.0
T_F5+Ev - T_F5,S1,-4.943,13.328,44.0,-0.017,0.023,52.0,-0.022,0.023,72.0
T_F5+Ev - T_F5,S2,-3.947,10.181,54.0,-0.013,0.018,52.0,-0.014,0.015,54.0
T_F5+Ev - T_F5,S3,-3.697,5.181,62.0,-0.01,0.012,66.0,-0.019,0.011,82.0
T_F5+Ev - T_F5,S4,3.123,4.649,46.0,-0.002,0.009,60.0,-0.015,0.01,72.0
T_F5+Ev - T_F5,S5,0.995,4.792,48.0,-0.004,0.01,58.0,-0.015,0.01,70.0
T_F5+Ev - T_F5,Avg,-1.694,3.747,51.0,-0.009,0.007,58.0,-0.017,0.007,70.0
T_F5 - T_0,S1,-168.775,19.278,100.0,-0.455,0.032,100.0,-0.337,0.032,100.0
T_F5 - T_0,S2,-84.987,16.975,100.0,-0.329,0.029,100.0,-0.22,0.026,98.0
T_F5 - T_0,S3,-201.895,10.759,100.0,-0.482,0.024,100.0,-0.394,0.021,100.0
T_F5 - T_0,S4,-189.976,7.493,100.0,-0.46,0.016,100.0,-0.359,0.016,100.0
T_F5 - T_0,S5,-185.099,8.176,100.0,-0.452,0.017,100.0,-0.352,0.016,100.0
T_F5 - T_0,Avg,-166.146,7.907,100.0,-0.436,0.013,100.0,-0.332,0.013,100.0
