scenario,arm,n,j_burn,j_asset,j_pop,j_resp,j_delay,j_total,j_phys,j_total_ci,j_phys_ci
S1,T_0,50,0.655,0.957,0.236,0.0,0.0,0.544,0.616,0.013,0.015
S2,T_0,50,0.659,0.962,0.243,0.0,0.0,0.548,0.621,0.011,0.012
S3,T_0,50,0.642,0.883,0.161,0.0,0.0,0.496,0.562,0.016,0.018
S4,T_0,50,0.652,0.927,0.191,0.0,0.0,0.52,0.59,0.014,0.016
S5,T_0,50,0.652,0.927,0.191,0.0,0.0,0.52,0.59,0.014,0.016
Avg,T_0,5,0.652,0.931,0.204,0.0,0.0,0.526,0.596,0.018,0.021
S1,T_F5,50,0.346,0.135,0.002,0.688,0.408,0.207,0.161,0.03,0.03
S2,T_F5,50,0.547,0.324,0.006,0.974,0.225,0.328,0.292,0.024,0.027
S3,T_F5,50,0.183,0.056,0.001,0.136,0.401,0.102,0.08,0.017,0.018
S4,T_F5,50,0.284,0.103,0.002,0.422,0.377,0.161,0.129,0.017,0.016
S5,T_F5,50,0.3,0.112,0.002,0.428,0.355,0.168,0.138,0.017,0.017
Avg,T_F5,5,0.332,0.146,0.002,0.53,0.353,0.193,0.16,0.074,0.07
S1,T_F5+Ev,50,0.318,0.11,0.004,0.628,0.362,0.185,0.144,0.032,0.031
S2,T_F5+Ev,50,0.539,0.291,0.008,0.956,0.206,0.315,0.279,0.026,0.028
S3,T_F5+Ev,50,0.167,0.044,0.0,0.091,0.259,0.083,0.07,0.015,0.016
S4,T_F5+Ev,50,0.293,0.089,0.001,0.36,0.213,0.146,0.128,0.017,0.015
S5,T_F5+Ev,50,0.301,0.099,0.001,0.374,0.213,0.152,0.134,0.018,0.016
Avg,T_F5+Ev,5,0.324,0.126,0.003,0.482,0.251,0.176,0.151,0.075,0.068
S1,T_DisasterAware,50,0.295,0.094,0.003,0.62,0.377,0.174,0.131,0.031,0.031
S2,T_DisasterAware,50,0.515,0.278,0.008,0.944,0.206,0.303,0.267,0.027,0.03
S3,T_DisasterAware,50,0.155,0.033,0.0,0.111,0.271,0.078,0.063,0.013,0.014
S4,T_DisasterAware,50,0.271,0.077,0.003,0.427,0.224,0.142,0.117,0.017,0.015
S5,T_DisasterAware,50,0.279,0.08,0.004,0.413,0.22,0.144,0.121,0.017,0.015
Avg,T_DisasterAware,5,0.303,0.112,0.004,0.503,0.259,0.168,0.14,0.073,0.067
