scenario,arm,n,burned_ha,burned_ci,forest_ha,pop_affected,evacuated,out_min,success_pct,not_extinguished
S1,T_0,50,262.3,7.1,127.9,3812.0,0.0,-,0.0,50/50
S2,T_0,50,266.4,5.2,129.3,3838.0,0.0,-,0.0,50/50
S3,T_0,50,235.4,8.2,60.3,6759.0,0.0,-,0.0,50/50
S4,T_0,50,245.1,7.6,62.2,7232.0,0.0,-,0.0,50/50
S5,T_0,50,245.1,7.6,62.2,7232.0,0.0,-,0.0,50/50
Avg,T_0,250,250.8,11.4,88.4,5775.0,0.0,-,0.0,250/250
S1,T_F5,50,93.5,19.2,45.9,361.0,11.0,89.0,16.0,42/50
S2,T_F5,50,181.4,17.6,88.6,910.0,14.0,158.0,2.0,49/50
S3,T_F5,50,33.5,8.0,4.0,225.0,2.0,346.0,20.0,40/50
S4,T_F5,50,55.1,7.3,8.4,497.0,2.0,260.0,6.0,47/50
S5,T_F5,50,60.0,8.1,11.1,498.0,6.0,216.0,8.0,46/50
Avg,T_F5,250,84.7,51.0,31.6,498.0,7.0,230.0,10.0,224/250
S1,T_F5+Ev,50,88.6,21.1,42.6,275.0,183.0,101.0,32.0,34/50
S2,T_F5+Ev,50,177.5,17.5,87.7,788.0,170.0,260.0,6.0,47/50
S3,T_F5+Ev,50,29.8,7.3,5.6,164.0,2.0,199.0,76.0,12/50
S4,T_F5+Ev,50,58.2,8.1,14.4,359.0,8.0,330.0,56.0,22/50
S5,T_F5+Ev,50,61.0,8.9,14.8,396.0,5.0,358.0,60.0,20/50
Avg,T_F5+Ev,250,83.0,49.8,33.0,396.0,74.0,261.0,46.0,135/250
S1,T_DisasterAware,50,78.7,20.0,39.5,265.0,200.0,183.0,34.0,33/50
S2,T_DisasterAware,50,168.2,20.0,82.7,721.0,172.0,307.0,8.0,46/50
S3,T_DisasterAware,50,27.0,6.4,4.6,136.0,64.0,239.0,84.0,8/50
S4,T_DisasterAware,50,52.3,8.1,12.2,333.0,371.0,361.0,64.0,18/50
S5,T_DisasterAware,50,54.3,7.9,12.0,338.0,563.0,367.0,72.0,14/50
Avg,T_DisasterAware,250,76.1,47.9,30.2,358.0,274.0,299.0,52.0,119/250
