row;fuzzy_variable;status;reason
2;Satellite thermal anomaly data index;OK;
3;Satellite optical imagery index;OK;
4;UAV thermal imagery index;OK;
5;UAV EO imagery index;OK;
6;Fixed ground EO cameras index;OK;
7;PTZ EO cameras index;OK;
8;Ground thermal sensors index;OK;
9;Smoke plume detection outputs index;OK;
10;Lightning strike detection data index;OK;
11;Human fire report credibility index;OK;
12;First responder alert confidence index;OK;
13;Power line fault zones index;OK;
14;Detection timestamp and latency;OK;
15;Sensor geolocation error;OK;
16;Fire front perimeter observations index;OK;
17;Flame length;OK;
18;Fireline intensity;OK;
19;Active vs smoldering classification score;OK;
20;Surface vs crown fire indicators score;OK;
21;Nighttime fire activity index;OK;
22;Active front count;OK;
23;Thermal radiative power;OK;
24;Perimeter growth rate;OK;
25;Fuel moisture content;OK;
26;Fuel moisture content;OK;
27;Fuel type / vegetation class index;OK;
28;Fuel load index;OK;
29;Fuel continuity index;OK;
30;Vertical fuel structure index;OK;
31;Canopy height;OK;
32;Canopy base height;OK;
33;Canopy cover index;OK;
34;Seasonal fuel stress index;OK;
35;Elevation;OK;
36;Slope;OK;
37;Aspect;OK;
38;Terrain ruggedness index;OK;
39;Barrier effectiveness score;OK;
40;Barrier effectiveness score;OK;
41;Access difficulty index;OK;
42;Land cover fuel factor;OK;
43;Wind speed;OK;
44;Wind direction;OK;
45;Gust speed;OK;
46;Wind variability;OK;
47;Stability index (mapped);OK;
48;Mixing height;OK;
49;Air temperature;OK;
50;Relative humidity;OK;
51;Short term forecast index;OK;
52;Forecast uncertainty;OK;
53;Rate of spread;OK;
54;Directional propagation index;OK;
55;Fire acceleration;OK;
56;Spot fire count (per hour);OK;
57;Ember transport likelihood;OK;
58;Perimeter growth rate;OK;
59;Projected area growth;OK;
60;Exposure proximity;OK;
61;Exposure proximity;OK;
62;Population density;OK;
63;Evacuation priority score;OK;
64;Exposure proximity;OK;
65;Infrastructure criticality score;OK;
66;Infrastructure criticality score;OK;
67;Infrastructure criticality score;OK;
68;Protected forest areas index;OK;
69;Wildlife habitat zones index;OK;
70;Watershed protection index;OK;
71;Asset value;OK;
72;Environmental sensitivity index;OK;
73;Crew distance to fire;OK;
74;Available crew count;OK;
75;Crew fatigue (work hours);OK;
76;Crew skill level;OK;
77;Engine count;OK;
78;Engine water capacity;OK;
79;Pump flow rate;OK;
80;Hose/line availability;OK;
81;Dozer count;OK;
82;Heavy equipment count;OK;
83;Tool availability index;OK;
84;Airtanker count;OK;
85;Aerial drop volume;OK;
86;Helicopter count;OK;
87;Helicopter bucket volume;OK;
88;UAV drop payload;OK;
89;Aerial sortie rate;OK;
90;Aviation feasibility score;OK;
91;Water availability;OK;
92;Water availability;OK;
93;Water access score;OK;
94;Retardant stock;OK;
95;Foam stock;OK;
96;Mixing capacity;OK;
97;Base camp capacity;OK;
98;Staging capacity;OK;
99;Fuel availability;OK;
100;Maintenance capacity;OK;
101;Spare equipment count;OK;
102;ICP proximity to incident;OK;
103;Dispatch latency;OK;
104;Comm coverage score;OK;
105;Data link quality score;OK;
106;Coordination effectiveness;OK;
107;Shelter availability;OK;
108;Escape route adequacy;OK;
109;Safety zone capacity;OK;
110;Medical response time;OK;
111;Rotation interval;OK;
112;Simultaneous incident count;OK;
113;Historical burned area;OK;
114;Burn severity index;OK;
115;Suppression effectiveness score;OK;
116;Seasonal fire count;OK;
117;Decadal fire frequency;OK;
118;Climate anomaly index;OK;
