step;j_candidate;j_noaction;satisficing_bound;phys_candidate;phys_noaction
0;0.137457;0.137457;0.130584;0.200854;0.200854
1;0.141309;0.141309;0.134244;0.202334;0.202334
2;0.145452;0.145452;0.138179;0.202334;0.202334
3;0.115569;0.148698;0.141263;0.163283;0.205816
4;0.117529;0.122104;0.115999;0.159358;0.176895
5;0.114220;0.116140;0.110333;0.142702;0.165447
6;0.089677;0.111932;0.106336;0.142702;0.165447
7;0.044929;0.110140;0.104633;0.032326;0.159071
8;0.045468;0.098821;0.093880;0.032326;0.159071
9;0.045913;0.091027;0.086476;0.032326;0.159071
10;0.046350;0.091034;0.086483;0.032326;0.159071
11;0.046797;0.078963;0.075015;0.032326;0.159071
12;0.047250;0.072569;0.068940;0.032326;0.159071
13;0.047707;0.069159;0.065701;0.032326;0.159071
14;0.048185;0.062063;0.058960;0.032326;0.159071
15;0.048662;0.058246;0.055334;0.032326;0.159071
16;0.049136;0.056194;0.053384;0.032326;0.159071
17;0.049607;0.052125;0.049518;0.032326;0.056052
18;0.050076;0.051927;0.049331;0.032326;0.056052
19;0.050543;0.052391;0.049772;0.032326;0.056052
20;0.051696;0.052190;0.049581;0.032326;0.056052
21;0.053470;0.052636;0.050005;0.032326;0.056052
22;0.062657;0.053062;0.050409;0.045463;0.058220
23;0.063769;0.052741;0.050104;0.047025;0.065890
24;0.064624;0.052305;0.049689;0.047025;0.049336
25;0.066552;0.052595;0.049966;0.047799;0.049336
26;0.068444;0.053054;0.050402;0.047799;0.049336
27;0.068697;0.053500;0.050825;0.049336;0.049336
28;0.067665;0.053920;0.051224;0.049336;0.049336
