step;t_min;region;story;stage_tried;stage_accepted;fired_rules;suppression;deployment;containment;protection;evacuation;warning;quality;gate_min;J_forecast;J_noaction;attended
0;0;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.02] R20[0.19] G1[0.06] G2[0.19] G3[0.06] G4[0.19];0.89;0.86;0.87;0.86;0.30;0.00;0.59;0.00;0.2239;0.2239;1
0;0;Agent_2;orders came from the seed rule base (rules as-is);0;0;R11[0.23];0.00;0.10;0.00;0.00;0.23;0.23;0.92;0.00;0.2239;0.2239;0
0;0;Agent_3;orders came from the seed rule base (rules as-is);0;0;;0.00;0.00;0.00;0.00;0.00;0.00;0.75;0.00;0.2239;0.2239;1
1;1;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.02] R20[0.17] G1[0.05] G2[0.17] G3[0.05] G4[0.17];0.84;0.83;0.85;0.84;0.27;0.00;0.57;0.00;0.2254;0.2254;1
1;1;Agent_2;orders came from the seed rule base (rules as-is);0;0;R11[0.20];0.00;0.09;0.00;0.00;0.20;0.20;0.93;0.00;0.2254;0.2254;0
1;1;Agent_3;orders came from the seed rule base (rules as-is);0;0;;0.00;0.00;0.00;0.00;0.00;0.00;0.78;0.00;0.2254;0.2254;1
2;2;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.02] R20[0.16] G1[0.05] G2[0.16] G3[0.05] G4[0.16];0.86;0.87;0.89;0.88;0.33;0.00;0.60;0.12;0.2275;0.2275;1
2;2;Agent_2;orders came from the seed rule base (rules as-is);0;0;R11[0.25];0.00;0.12;0.00;0.00;0.25;0.25;0.91;0.12;0.2275;0.2275;0
2;2;Agent_3;orders came from the seed rule base (rules as-is);0;0;;0.00;0.00;0.00;0.00;0.00;0.00;0.75;0.12;0.2275;0.2275;1
3;3;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.02] R20[0.18] R26[0.04] G1[0.04] G2[0.18] G3[0.04];0.85;0.87;0.89;0.86;0.37;0.00;0.59;0.12;0.2141;0.2291;1
3;3;Agent_2;orders came from the seed rule base (rules as-is);0;0;R11[0.25];0.00;0.12;0.00;0.00;0.25;0.25;0.88;0.12;0.2141;0.2291;0
3;3;Agent_3;orders came from the seed rule base (rules as-is);0;0;R7[0.08] R20[0.02] R26[0.04];0.04;0.06;0.05;0.07;0.00;0.00;0.69;0.12;0.2141;0.2291;1
4;4;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.02] R20[0.20] R26[0.08] G1[0.04] G2[0.20] G3[0.04];0.90;0.86;0.89;0.87;0.37;0.00;0.59;0.12;0.2156;0.2156;1
4;4;Agent_2;orders came from the seed rule base (rules as-is);0;0;R11[0.25];0.00;0.11;0.00;0.00;0.25;0.25;0.88;0.12;0.2156;0.2156;0
4;4;Agent_3;orders came from the seed rule base (rules as-is);0;0;R7[0.08] R20[0.04] R26[0.08];0.08;0.10;0.05;0.07;0.00;0.00;0.69;0.12;0.2156;0.2156;1
0;0;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.02] R20[0.19] G1[0.06] G2[0.19] G3[0.06] G4[0.19];0.89;0.86;0.87;0.86;0.30;0.00;0.59;0.00;0.2239;0.2239;1
0;0;Agent_2;orders came from the seed rule base (rules as-is);0;0;R11[0.23];0.00;0.10;0.00;0.00;0.23;0.23;0.92;0.00;0.2239;0.2239;0
0;0;Agent_3;orders came from the seed rule base (rules as-is);0;0;;0.00;0.00;0.00;0.00;0.00;0.00;0.75;0.00;0.2239;0.2239;1
0;0;Agent_1;stage controller selected stage 3 [GenAI] (deficit bucket: low) → rejected (rejected at G3 (claude) | seed-base decision stands, its orders are applied);3;0;R7[0.02] R20[0.19] G1[0.06] G2[0.19] G3[0.06] G4[0.19];0.89;0.86;0.87;0.86;0.30;0.00;0.59;0.00;0.2239;0.2239;1
0;0;Agent_2;stage controller selected stage 3 [GenAI] (deficit bucket: low) → rejected (rejected at G3 (claude) | seed-base decision stands, its orders are applied);3;0;R11[0.23];0.00;0.10;0.00;0.00;0.23;0.23;0.92;0.00;0.2239;0.2239;0
0;0;Agent_3;stage controller selected stage 3 [GenAI] (deficit bucket: low) → rejected (rejected at G3 (claude) | seed-base decision stands, its orders are applied);3;0;;0.00;0.00;0.00;0.00;0.00;0.00;0.75;0.00;0.2239;0.2239;1
5;5;Agent_1;stage controller selected stage 3 [GenAI] (deficit bucket: high+gap) → rejected (rejected at G3 (claude) | seed-base decision stands, its orders are applied);3;0;R7[0.02] R20[0.21] R26[0.11] G1[0.04] G2[0.21] G3[0.04];0.92;0.87;0.91;0.88;0.37;0.00;0.60;0.12;0.2174;0.2174;1
5;5;Agent_2;stage controller selected stage 3 [GenAI] (deficit bucket: high+gap) → rejected (rejected at G3 (claude) | seed-base decision stands, its orders are applied);3;0;R11[0.25];0.00;0.11;0.00;0.00;0.25;0.25;0.88;0.12;0.2174;0.2174;0
5;5;Agent_3;stage controller selected stage 3 [GenAI] (deficit bucket: high+gap) → rejected (rejected at G3 (claude) | seed-base decision stands, its orders are applied);3;0;R7[0.08] R20[0.05] R26[0.11];0.11;0.13;0.05;0.07;0.00;0.00;0.70;0.12;0.2174;0.2174;1
6;6;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.02] R20[0.21] R26[0.12] G1[0.04] G2[0.21] G3[0.04];0.92;0.87;0.92;0.88;0.37;0.00;0.60;0.12;0.2199;0.2205;1
6;6;Agent_2;orders came from the seed rule base (rules as-is);0;0;R11[0.25];0.00;0.11;0.00;0.00;0.25;0.25;0.88;0.12;0.2199;0.2205;0
6;6;Agent_3;orders came from the seed rule base (rules as-is);0;0;R7[0.08] R20[0.06] R26[0.12];0.12;0.16;0.05;0.07;0.00;0.00;0.70;0.12;0.2199;0.2205;1
7;7;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.02] R20[0.22] R26[0.14] G1[0.04] G2[0.22] G3[0.04];0.93;0.88;0.93;0.89;0.37;0.00;0.60;0.12;0.2230;0.2215;1
7;7;Agent_2;orders came from the seed rule base (rules as-is);0;0;R11[0.25];0.00;0.11;0.00;0.00;0.25;0.25;0.88;0.12;0.2230;0.2215;0
7;7;Agent_3;orders came from the seed rule base (rules as-is);0;0;R7[0.08] R20[0.07] R26[0.14];0.14;0.18;0.05;0.07;0.00;0.00;0.71;0.12;0.2230;0.2215;1
8;8;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.02] R20[0.23] R26[0.15] G1[0.04] G2[0.23] G3[0.04];0.93;0.88;0.93;0.89;0.37;0.00;0.61;0.12;0.2255;0.2215;1
8;8;Agent_2;orders came from the seed rule base (rules as-is);0;0;R11[0.25];0.00;0.11;0.00;0.00;0.25;0.25;0.88;0.12;0.2255;0.2215;0
8;8;Agent_3;orders came from the seed rule base (rules as-is);0;0;R7[0.08] R20[0.07] R26[0.15];0.15;0.20;0.05;0.07;0.00;0.00;0.71;0.12;0.2255;0.2215;1
9;9;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.02] R20[0.24] R26[0.16] G1[0.04] G2[0.24] G3[0.04];0.93;0.87;0.93;0.89;0.37;0.00;0.61;0.12;0.2274;0.2253;1
9;9;Agent_2;orders came from the seed rule base (rules as-is);0;0;R11[0.25];0.00;0.11;0.00;0.00;0.25;0.25;0.88;0.12;0.2274;0.2253;0
9;9;Agent_3;orders came from the seed rule base (rules as-is);0;0;R7[0.08] R20[0.08] R26[0.16];0.16;0.21;0.05;0.07;0.00;0.00;0.70;0.12;0.2274;0.2253;1
10;10;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.02] R20[0.25] R26[0.17] G1[0.04] G2[0.25] G3[0.04];0.93;0.87;0.93;0.89;0.37;0.00;0.62;0.12;0.2284;0.2251;1
10;10;Agent_2;orders came from the seed rule base (rules as-is);0;0;R11[0.25];0.00;0.11;0.00;0.00;0.25;0.25;0.88;0.12;0.2284;0.2251;0
10;10;Agent_3;orders came from the seed rule base (rules as-is);0;0;R7[0.08] R20[0.09] R26[0.17];0.17;0.23;0.05;0.07;0.00;0.00;0.70;0.12;0.2284;0.2251;1
11;11;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.02] R20[0.25] R26[0.18] G1[0.04] G2[0.25] G3[0.04];0.93;0.87;0.93;0.89;0.37;0.00;0.62;0.11;0.2348;0.2277;1
11;11;Agent_2;orders came from the seed rule base (rules as-is);0;0;R11[0.25];0.00;0.11;0.00;0.00;0.25;0.25;0.88;0.11;0.2348;0.2277;0
11;11;Agent_3;orders came from the seed rule base (rules as-is);0;0;R7[0.08] R20[0.10] R26[0.18];0.18;0.24;0.05;0.07;0.00;0.00;0.70;0.11;0.2348;0.2277;1
12;12;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.02] R20[0.26] R26[0.18] G1[0.04] G2[0.26] G3[0.04];0.93;0.87;0.93;0.89;0.37;0.00;0.62;0.11;0.2340;0.2284;1
12;12;Agent_2;orders came from the seed rule base (rules as-is);0;0;R11[0.25];0.00;0.11;0.00;0.00;0.25;0.25;0.88;0.11;0.2340;0.2284;0
12;12;Agent_3;orders came from the seed rule base (rules as-is);0;0;R7[0.08] R20[0.11] R26[0.18];0.18;0.26;0.05;0.07;0.00;0.00;0.70;0.11;0.2340;0.2284;1
13;13;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.02] R20[0.26] R26[0.19] G1[0.04] G2[0.26] G3[0.04];0.93;0.87;0.94;0.89;0.37;0.00;0.62;0.11;0.2347;0.2320;1
13;13;Agent_2;orders came from the seed rule base (rules as-is);0;0;R11[0.25];0.00;0.11;0.00;0.00;0.25;0.25;0.88;0.11;0.2347;0.2320;0
13;13;Agent_3;orders came from the seed rule base (rules as-is);0;0;R7[0.08] R20[0.12] R26[0.19];0.19;0.27;0.05;0.07;0.00;0.00;0.70;0.11;0.2347;0.2320;1
