step,t_min,burning,burned,j_total,j_physical,j_burn,j_asset,j_pop,j_resp,wws_mean,prec_mean,fmoist_mean,alloc_cells,alloc_rcap_sum
1,1.0,170,170,0.10271,0.11645,0.34936,0.00000,0.00000,0.00000,8.27,0.00,0.159,0,0.0
2,2.0,172,172,0.10350,0.11734,0.35203,0.00000,0.00000,0.00000,8.27,0.00,0.159,0,0.0
3,3.0,178,178,0.10581,0.11996,0.35989,0.00000,0.00000,0.00000,8.27,0.00,0.159,0,0.0
4,4.0,186,186,0.11760,0.12336,0.37008,0.00000,0.00000,0.01040,8.27,0.00,0.165,232,227.9
5,5.0,201,201,0.12370,0.12944,0.38833,0.00000,0.00000,0.02083,8.27,0.00,0.165,216,224.5
6,6.0,213,214,0.12849,0.13444,0.40332,0.00000,0.00000,0.03121,8.27,0.00,0.165,205,220.7
7,7.0,233,234,0.13549,0.14166,0.42499,0.00000,0.00000,0.04163,8.27,0.00,0.166,205,221.1
8,8.0,248,251,0.14108,0.14740,0.44221,0.00000,0.00000,0.05203,8.27,0.00,0.166,199,219.2
9,9.0,266,270,0.14702,0.15343,0.46028,0.00000,0.00000,0.06244,8.27,0.00,0.166,197,219.1
10,10.0,277,281,0.15056,0.15674,0.47021,0.00000,0.00000,0.07287,8.27,0.00,0.167,196,219.4
11,11.0,289,295,0.15476,0.16078,0.48234,0.00000,0.00000,0.08329,8.27,0.00,0.167,195,219.0
12,12.0,300,310,0.15904,0.16491,0.49473,0.00000,0.00000,0.09369,8.27,0.00,0.167,194,218.5
13,13.0,308,325,0.16312,0.16885,0.50655,0.00000,0.00000,0.10407,8.27,0.00,0.168,193,218.1
14,14.0,316,338,0.16662,0.17212,0.51635,0.00000,0.00000,0.11448,8.27,0.00,0.168,193,218.5
15,15.0,323,357,0.17127,0.17666,0.52999,0.00000,0.00000,0.12488,8.27,0.00,0.168,193,218.3
16,16.0,339,377,0.17591,0.18118,0.54354,0.00000,0.00000,0.13526,8.27,0.00,0.169,192,217.6
17,17.0,347,390,0.17904,0.18398,0.55194,0.00000,0.00000,0.14563,8.27,0.00,0.169,192,217.3
18,18.0,359,408,0.18290,0.18769,0.56307,0.00000,0.00000,0.15602,8.27,0.00,0.170,191,217.2
19,19.0,378,432,0.18767,0.19236,0.57708,0.00000,0.00000,0.16643,8.27,0.00,0.170,193,217.0
20,20.0,395,456,0.19214,0.19674,0.59021,0.00000,0.00000,0.17683,8.27,0.00,0.171,206,216.1
21,21.0,406,476,0.19580,0.20019,0.60056,0.00000,0.00000,0.18720,8.27,0.00,0.172,206,215.4
22,22.0,421,500,0.19989,0.20410,0.61229,0.00000,0.00000,0.19763,8.27,0.00,0.172,209,216.6
23,23.0,433,517,0.20291,0.20673,0.62020,0.00000,0.00000,0.20805,8.27,0.00,0.172,212,216.7
24,24.0,444,533,0.20578,0.20912,0.62735,0.00000,0.00000,0.21844,8.27,0.00,0.173,213,215.5
25,25.0,463,559,0.20992,0.21281,0.63842,0.00000,0.00000,0.22887,8.27,0.00,0.174,215,215.6
26,26.0,488,587,0.21357,0.21654,0.64962,0.00000,0.00000,0.23927,8.27,0.00,0.174,212,214.4
27,27.0,502,605,0.21628,0.21882,0.65647,0.00000,0.00000,0.24967,8.27,0.00,0.174,227,213.5
28,28.0,514,628,0.21932,0.22161,0.66483,0.00000,0.00000,0.26008,8.27,0.00,0.176,221,213.9
29,29.0,529,649,0.22220,0.22404,0.67212,0.00000,0.00000,0.27048,8.27,0.00,0.176,222,214.1
30,30.0,539,664,0.22435,0.22571,0.67714,0.00000,0.00000,0.28088,8.27,0.00,0.176,222,215.4
31,31.0,552,678,0.22628,0.22723,0.68168,0.00000,0.00000,0.29130,8.27,0.00,0.176,227,215.0
32,32.0,569,696,0.22856,0.22911,0.68734,0.00000,0.00000,0.30173,8.27,0.00,0.176,237,214.7
33,33.0,585,712,0.23093,0.23073,0.69220,0.00000,0.00000,0.31213,8.27,0.00,0.177,264,217.5
34,34.0,611,739,0.23380,0.23336,0.70008,0.00000,0.00000,0.32255,8.27,0.00,0.177,267,217.4
35,35.0,624,755,0.23591,0.23485,0.70455,0.00000,0.00000,0.33297,8.27,0.00,0.177,277,217.1
36,36.0,635,768,0.23710,0.23603,0.70810,0.00000,0.00000,0.34336,8.27,0.00,0.177,254,214.8
37,37.0,650,786,0.23949,0.23762,0.71286,0.00000,0.00000,0.35379,8.27,0.00,0.177,268,216.5
38,38.0,667,807,0.24219,0.23941,0.71823,0.00000,0.00000,0.36422,8.27,0.00,0.177,290,219.3
39,39.0,687,827,0.24679,0.24105,0.72315,0.00000,0.00000,0.37463,8.27,0.00,0.178,356,222.6
40,40.0,704,845,0.24870,0.24248,0.72744,0.00000,0.00000,0.38503,8.27,0.00,0.178,358,222.4
41,41.0,720,862,0.25063,0.24379,0.73138,0.00000,0.00000,0.39544,8.27,0.00,0.179,363,223.4
42,42.0,733,879,0.25214,0.24507,0.73520,0.00000,0.00000,0.40585,8.27,0.00,0.179,354,222.3
43,43.0,750,897,0.25371,0.24637,0.73912,0.00000,0.00000,0.41628,8.27,0.00,0.180,347,222.4
44,44.0,767,914,0.25541,0.24758,0.74273,0.00000,0.00000,0.42669,8.27,0.00,0.180,346,221.9
45,45.0,781,927,0.25712,0.24847,0.74542,0.00000,0.00000,0.43709,8.27,0.00,0.180,356,222.6
46,46.0,797,943,0.25912,0.24955,0.74865,0.00000,0.00000,0.44752,8.27,0.00,0.180,372,225.1
47,47.0,808,954,0.26050,0.25028,0.75083,0.00000,0.00000,0.45794,8.27,0.00,0.181,377,225.6
48,48.0,823,970,0.26176,0.25131,0.75393,0.00000,0.00000,0.46834,8.27,0.00,0.181,371,225.4
49,49.0,833,980,0.26295,0.25194,0.75582,0.00000,0.00000,0.47877,8.27,0.00,0.181,371,225.7
50,50.0,838,985,0.26383,0.25225,0.75676,0.00000,0.00000,0.48918,8.27,0.00,0.181,370,225.2
51,51.0,851,998,0.26545,0.25306,0.75917,0.00000,0.00000,0.49961,8.27,0.00,0.181,379,225.9
52,52.0,867,1014,0.26691,0.25402,0.76206,0.00000,0.00000,0.51002,8.27,0.00,0.182,379,225.5
53,53.0,875,1022,0.26796,0.25449,0.76348,0.00000,0.00000,0.52044,8.27,0.00,0.182,380,225.7
54,54.0,884,1031,0.26900,0.25502,0.76506,0.00000,0.00000,0.53087,8.27,0.00,0.182,380,225.9
55,55.0,895,1042,0.27018,0.25566,0.76697,0.00000,0.00000,0.54128,8.27,0.00,0.182,380,225.5
56,56.0,905,1052,0.27125,0.25622,0.76867,0.00000,0.00000,0.55171,8.27,0.00,0.182,381,225.7
57,57.0,912,1059,0.27224,0.25662,0.76985,0.00000,0.00000,0.56214,8.27,0.00,0.183,382,225.8
58,58.0,921,1068,0.27330,0.25711,0.77134,0.00000,0.00000,0.57255,8.27,0.00,0.183,382,225.4
59,59.0,934,1081,0.27457,0.25782,0.77347,0.00000,0.00000,0.58298,8.27,0.00,0.183,383,225.6
60,60.0,950,1097,0.27596,0.25868,0.77603,0.00000,0.00000,0.59341,8.27,0.00,0.183,384,225.8
61,61.0,955,1102,0.27682,0.25894,0.77682,0.00000,0.00000,0.60383,8.27,0.00,0.183,384,225.4
