quantity;value
cycles;46
satisficing_failed;46
tried;9
accepted;0
rejected;9
withheld;0
persist_failed;0
dJ_accepted;0.000000
stage1_tried;5
stage1_accepted;0
stage2_tried;2
stage2_accepted;0
stage3_tried;2
stage3_accepted;0
blocked: cooldown between adaptation trials;35
gate: rejected at G3 (no improvement);1
gate: rejected;1
rejected: rejected at G3 (claude);1
rejected: no improving perturbation found;5
"rejected: cell already covered — an active rule sits on this antecedent cell and the situation is crisp; numeric tuning is stage ① evFIS's job";2
"rejected: rejected at G2c relevance (the rule does not fire in the PRESENT situation; use each concept's CURRENT dominant term from the situation line) (claude)";1
