step,t_min,burning,burned,j_total,j_physical,j_burn,j_asset,j_pop,j_resp,wws_mean,prec_mean,fmoist_mean,alloc_cells,alloc_rcap_sum
1,1.0,13,13,0.01160,0.01315,0.03944,0.00000,0.00000,0.00000,8.27,0.00,0.159,0,0.0
2,2.0,15,15,0.01330,0.01508,0.04524,0.00000,0.00000,0.00000,8.27,0.00,0.159,0,0.0
3,3.0,20,20,0.01747,0.01981,0.05942,0.00000,0.00000,0.00000,8.27,0.00,0.159,0,0.0
4,4.0,22,22,0.03183,0.02166,0.06497,0.00000,0.00000,0.01249,8.27,0.00,0.162,269,290.0
5,5.0,20,22,0.03257,0.02166,0.06497,0.00000,0.00000,0.02559,8.27,0.00,0.162,279,302.6
6,6.0,20,22,0.03337,0.02166,0.06497,0.00000,0.00000,0.03983,8.27,0.00,0.163,300,327.7
7,7.0,20,22,0.03423,0.02166,0.06497,0.00000,0.00000,0.05465,8.27,0.00,0.163,310,340.1
8,8.0,20,22,0.03502,0.02166,0.06497,0.00000,0.00000,0.06905,8.27,0.00,0.164,300,330.0
9,9.0,20,22,0.03586,0.02166,0.06497,0.00000,0.00000,0.08350,8.27,0.00,0.164,300,330.9
10,10.0,20,22,0.03670,0.02166,0.06497,0.00000,0.00000,0.09798,8.27,0.00,0.164,300,331.5
11,11.0,20,22,0.03755,0.02166,0.06497,0.00000,0.00000,0.11250,8.27,0.00,0.164,300,332.0
12,12.0,20,22,0.03840,0.02166,0.06497,0.00000,0.00000,0.12703,8.27,0.00,0.164,300,332.5
13,13.0,20,22,0.03925,0.02166,0.06497,0.00000,0.00000,0.14159,8.27,0.00,0.165,300,332.8
14,14.0,20,22,0.04011,0.02166,0.06497,0.00000,0.00000,0.15616,8.27,0.00,0.165,300,333.1
15,15.0,20,22,0.04097,0.02166,0.06497,0.00000,0.00000,0.17074,8.27,0.00,0.165,300,333.3
16,16.0,20,22,0.04183,0.02166,0.06497,0.00000,0.00000,0.18532,8.27,0.00,0.165,300,333.4
17,17.0,20,22,0.04269,0.02166,0.06497,0.00000,0.00000,0.19992,8.27,0.00,0.165,300,333.6
18,18.0,18,22,0.04355,0.02166,0.06497,0.00000,0.00000,0.21452,8.27,0.00,0.166,300,333.7
19,19.0,14,22,0.04441,0.02166,0.06497,0.00000,0.00000,0.22912,8.27,0.00,0.166,300,333.8
20,20.0,8,22,0.04528,0.02166,0.06497,0.00000,0.00000,0.24372,8.27,0.00,0.166,300,333.8
21,21.0,0,22,0.04614,0.02166,0.06497,0.00000,0.00000,0.25833,8.27,0.00,0.166,300,333.9
22,22.0,2,24,0.04854,0.02349,0.07046,0.00000,0.00000,0.27237,8.27,0.00,0.166,289,321.4
23,23.0,10,32,0.05562,0.03060,0.09180,0.00000,0.00000,0.28518,8.27,0.00,0.166,265,293.9
24,24.0,22,42,0.05126,0.03904,0.11712,0.00000,0.00000,0.28518,8.27,0.00,0.166,0,0.0
25,25.0,5,42,0.06468,0.03904,0.11712,0.00000,0.00000,0.29495,8.27,0.00,0.167,210,227.7
26,26.0,2,42,0.06483,0.03904,0.11712,0.00000,0.00000,0.31030,8.27,0.00,0.167,322,354.4
27,27.0,0,42,0.06555,0.03904,0.11712,0.00000,0.00000,0.32874,8.27,0.00,0.168,375,419.2
28,28.0,0,42,0.06677,0.03904,0.11712,0.00000,0.00000,0.34238,8.27,0.00,0.168,287,315.6
29,29.0,0,42,0.06763,0.03904,0.11712,0.00000,0.00000,0.35227,8.27,0.00,0.168,210,230.4
