step;t_min;region;story;stage_tried;stage_accepted;fired_rules;suppression;deployment;containment;protection;evacuation;warning;quality;gate_min;J_forecast;J_noaction;attended
231;231;Agent_1;stage controller selected stage 1 [evFIS] (deficit bucket: high+gap) → ACCEPTED: G5 consequents +0.05;1;1;R7[0.02] R20[0.57] R26[0.32] G1[0.06] G2[0.57] G3[0.06];0.79;0.69;0.81;0.84;0.65;0.00;0.89;0.02;0.2817;0.2743;1
231;231;Agent_2;stage controller selected stage 1 [evFIS] (deficit bucket: high+gap) → ACCEPTED: G5 consequents +0.05;1;1;R7[0.08] R11[0.23] R15[0.23] R20[0.38] R26[0.32] G1[0.11];0.55;0.66;0.63;0.79;0.60;0.41;0.77;0.02;0.2817;0.2743;1
231;231;Agent_3;stage controller selected stage 1 [evFIS] (deficit bucket: high+gap) → ACCEPTED: G5 consequents +0.05;1;1;R7[0.04] R20[0.38] R26[0.32] G1[0.11] G2[0.38] G3[0.11];0.81;0.70;0.80;0.64;0.55;0.00;0.85;0.02;0.2817;0.2743;1
232;232;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.02] R20[0.52] R26[0.29] G1[0.05] G2[0.52] G3[0.05];0.79;0.70;0.81;0.84;0.66;0.00;0.86;0.02;0.2821;0.2734;1
232;232;Agent_2;orders came from the seed rule base (rules as-is);0;0;R7[0.08] R11[0.23] R15[0.23] R20[0.34] R26[0.29] G1[0.10];0.55;0.66;0.63;0.79;0.60;0.41;0.75;0.02;0.2821;0.2734;1
232;232;Agent_3;orders came from the seed rule base (rules as-is);0;0;R7[0.04] R20[0.34] R26[0.29] G1[0.10] G2[0.34] G3[0.10];0.81;0.70;0.80;0.64;0.55;0.00;0.82;0.02;0.2821;0.2734;1
233;233;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.02] R20[0.47] R26[0.27] G1[0.05] G2[0.47] G3[0.05];0.79;0.70;0.81;0.84;0.66;0.00;0.83;0.02;0.2824;0.2737;1
233;233;Agent_2;orders came from the seed rule base (rules as-is);0;0;R7[0.08] R11[0.23] R15[0.23] R20[0.31] R26[0.27] G1[0.09];0.53;0.65;0.61;0.77;0.60;0.41;0.73;0.02;0.2824;0.2737;1
233;233;Agent_3;orders came from the seed rule base (rules as-is);0;0;R7[0.04] R20[0.31] R26[0.27] G1[0.09] G2[0.31] G3[0.09];0.81;0.70;0.80;0.64;0.55;0.00;0.80;0.02;0.2824;0.2737;1
234;234;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.02] R20[0.43] R26[0.24] G1[0.04] G2[0.43] G3[0.04];0.79;0.70;0.81;0.84;0.67;0.00;0.81;0.02;0.2831;0.2741;1
234;234;Agent_2;orders came from the seed rule base (rules as-is);0;0;R7[0.08] R11[0.23] R15[0.23] R20[0.28] R26[0.24] G1[0.08];0.52;0.63;0.60;0.76;0.61;0.41;0.71;0.02;0.2831;0.2741;1
234;234;Agent_3;orders came from the seed rule base (rules as-is);0;0;R7[0.04] R20[0.28] R26[0.24] G1[0.08] G2[0.28] G3[0.08];0.81;0.70;0.80;0.64;0.55;0.00;0.78;0.02;0.2831;0.2741;1
235;235;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.02] R20[0.39] R26[0.22] G1[0.04] G2[0.39] G3[0.04];0.80;0.70;0.80;0.84;0.67;0.00;0.79;0.02;0.2835;0.2741;1
235;235;Agent_2;orders came from the seed rule base (rules as-is);0;0;R7[0.08] R11[0.23] R15[0.22] R20[0.26] R26[0.22] G1[0.08];0.50;0.62;0.58;0.74;0.61;0.40;0.70;0.02;0.2835;0.2741;1
235;235;Agent_3;orders came from the seed rule base (rules as-is);0;0;R7[0.04] R20[0.26] R26[0.22] G1[0.07] G2[0.26] G3[0.07];0.81;0.70;0.80;0.64;0.55;0.00;0.76;0.02;0.2835;0.2741;1
