step;j_candidate;j_noaction;satisficing_bound;phys_candidate;phys_noaction
8;0.051753;0.082499;0.080849;0.042287;0.092719
9;0.053347;0.085044;0.083343;0.043884;0.095431
10;0.054246;0.085668;0.083955;0.044675;0.095966
11;0.050370;0.252300;0.247254;0.039859;0.284714
12;0.050586;0.085998;0.084278;0.039859;0.095966
13;0.050817;0.099406;0.097417;0.039859;0.110971
14;0.050753;0.227642;0.223090;0.039859;0.256167
15;0.050922;0.229591;0.224999;0.039859;0.258199
15;0.050922;0.229591;0.224999;0.039859;0.258199
16;0.051092;0.087126;0.085384;0.039859;0.096499
17;0.051259;0.234835;0.230138;0.039859;0.263794
18;0.051428;0.232289;0.227643;0.039859;0.260732
19;0.123511;0.209454;0.205265;0.121386;0.234667
20;0.122905;0.138516;0.135746;0.120504;0.154065
21;0.072665;0.256173;0.250000;0.063908;0.287289
22;0.072901;0.170973;0.167553;0.063918;0.190433
23;0.073121;0.147494;0.144545;0.063920;0.163557
24;0.073417;0.203610;0.199538;0.063922;0.226922
25;0.073678;0.121505;0.119075;0.063924;0.133541
26;0.073936;0.121063;0.118641;0.063926;0.132748
27;0.074194;0.120968;0.118549;0.063927;0.132351
28;0.074452;0.252009;0.246968;0.063928;0.280631
29;0.074710;0.119714;0.117320;0.063928;0.130347
30;0.074967;0.118534;0.116164;0.063929;0.128719
31;0.075225;0.118425;0.116056;0.063930;0.128304
32;0.075482;0.124983;0.122484;0.063930;0.135449
33;0.075739;0.118204;0.115840;0.063931;0.127472
34;0.075996;0.231409;0.226781;0.063931;0.255532
35;0.076253;0.142024;0.139184;0.063931;0.153899
36;0.076510;0.119330;0.116943;0.063931;0.127877
37;0.076766;0.221932;0.217494;0.063932;0.243917
38;0.077023;0.119476;0.117087;0.063932;0.127463
39;0.077279;0.134217;0.131533;0.063932;0.143886
40;0.077536;0.119986;0.117587;0.063932;0.127461
41;0.077792;0.120241;0.117836;0.063932;0.127459
42;0.078048;0.125128;0.122625;0.063932;0.132710
43;0.078304;0.120749;0.118334;0.063932;0.127455
44;0.078560;0.125287;0.122781;0.063932;0.132311
45;0.078816;0.121985;0.119545;0.063932;0.128277
46;0.079071;0.175719;0.172205;0.063932;0.188911
47;0.079327;0.133089;0.130427;0.063932;0.140286
48;0.079582;0.122020;0.119579;0.063932;0.127447
49;0.079838;0.122274;0.119829;0.063932;0.127446
