step,t_min,burning,burned,j_total,j_burn,j_asset,j_pop,j_resp,wws_mean,prec_mean,fmoist_mean,alloc_cells,alloc_rcap_sum
1,1.0,29,29,0.03344,0.08753,0.00000,0.00000,0.00115,8.27,0.00,0.068,188,153.1
2,2.0,37,37,0.04370,0.11030,0.00000,0.00000,0.00286,8.27,0.00,0.068,1077,246.5
3,3.0,45,45,0.05069,0.13250,0.00000,0.00000,0.00462,8.27,0.00,0.068,1117,254.1
4,4.0,57,57,0.06038,0.16476,0.00000,0.00000,0.00647,8.27,0.00,0.069,1149,266.3
5,5.0,67,67,0.06829,0.19073,0.00000,0.00000,0.00843,8.27,0.00,0.069,1198,282.9
6,6.0,70,70,0.07076,0.19836,0.00000,0.00000,0.01048,8.27,0.00,0.069,1237,296.8
7,7.0,81,81,0.07892,0.22574,0.00000,0.00000,0.01256,8.27,0.00,0.069,1241,300.8
8,8.0,87,87,0.08349,0.24027,0.00000,0.00000,0.01475,8.27,0.00,0.070,1277,316.2
9,9.0,101,101,0.09336,0.27314,0.00000,0.00000,0.01702,8.27,0.00,0.070,1315,327.9
10,10.0,111,111,0.10034,0.29573,0.00000,0.00000,0.01941,8.27,0.00,0.070,1354,345.9
11,11.0,119,119,0.10580,0.31331,0.00000,0.00000,0.02188,8.27,0.00,0.070,1384,358.0
12,12.0,133,133,0.11480,0.34301,0.00000,0.00000,0.02445,8.27,0.00,0.071,1426,372.0
13,13.0,151,151,0.12580,0.37932,0.00000,0.00000,0.02712,8.27,0.00,0.071,1481,388.6
14,14.0,175,175,0.13946,0.42463,0.00000,0.00000,0.02995,8.27,0.00,0.071,1551,411.6
15,15.0,195,195,0.15008,0.45986,0.00000,0.00000,0.03295,8.27,0.00,0.072,1608,436.8
16,16.0,217,217,0.16103,0.49612,0.00000,0.00000,0.03611,8.27,0.00,0.072,1669,460.3
17,17.0,241,241,0.17209,0.53290,0.00000,0.00000,0.03938,8.27,0.00,0.072,1715,477.7
18,18.0,262,262,0.18115,0.56288,0.00000,0.00000,0.04281,8.27,0.00,0.072,1768,500.4
19,19.0,285,285,0.19035,0.59351,0.00000,0.00000,0.04637,8.27,0.00,0.073,1818,521.5
20,20.0,313,313,0.20064,0.62791,0.00000,0.00000,0.05009,8.27,0.00,0.073,1874,544.3
21,21.0,340,340,0.20884,0.65833,0.00000,0.00000,0.05436,8.27,0.00,0.073,1935,621.1
22,22.0,365,365,0.21663,0.68427,0.00000,0.00000,0.05885,8.27,0.00,0.074,2003,654.5
23,23.0,397,397,0.22566,0.71462,0.00000,0.00000,0.06357,8.27,0.00,0.074,2049,687.3
24,24.0,432,432,0.23446,0.74449,0.00000,0.00000,0.06857,8.27,0.00,0.074,1857,725.0
25,25.0,466,466,0.24227,0.77051,0.00000,0.00000,0.07356,8.27,0.00,0.075,975,717.3
26,26.0,501,501,0.24910,0.79453,0.00000,0.00000,0.07856,8.27,0.00,0.075,961,716.7
27,27.0,541,541,0.25605,0.81891,0.00000,0.00000,0.08356,8.27,0.00,0.075,944,715.4
28,28.0,591,591,0.26361,0.84537,0.00000,0.00000,0.08855,8.27,0.00,0.076,929,713.9
29,29.0,642,642,0.27035,0.86837,0.00000,0.00000,0.09355,8.27,0.00,0.076,920,713.1
30,30.0,699,699,0.27665,0.89006,0.00000,0.00000,0.09855,8.27,0.00,0.076,911,711.7
31,31.0,745,745,0.28100,0.90493,0.00000,0.00000,0.10355,8.27,0.00,0.077,900,710.0
32,32.0,793,793,0.28502,0.91830,0.00000,0.00000,0.10854,8.27,0.00,0.077,896,709.5
33,33.0,833,833,0.28803,0.92800,0.00000,0.00000,0.11354,8.27,0.00,0.077,893,709.0
34,34.0,876,876,0.29095,0.93714,0.00000,0.00000,0.11854,8.27,0.00,0.078,894,709.8
35,35.0,926,926,0.29392,0.94633,0.00000,0.00000,0.12354,8.27,0.00,0.078,896,710.8
36,36.0,983,983,0.29676,0.95517,0.00000,0.00000,0.12854,8.27,0.00,0.078,897,711.0
37,37.0,1041,1041,0.29924,0.96267,0.00000,0.00000,0.13353,8.27,0.00,0.079,898,711.1
38,38.0,1097,1097,0.30132,0.96873,0.00000,0.00000,0.13853,8.27,0.00,0.079,901,712.3
39,39.0,1167,1167,0.30341,0.97493,0.00000,0.00000,0.14353,8.27,0.00,0.079,902,712.4
40,40.0,1236,1236,0.30513,0.97984,0.00000,0.00000,0.14853,8.27,0.00,0.079,903,712.4
41,41.0,1300,1300,0.30650,0.98353,0.00000,0.00000,0.15353,8.27,0.00,0.080,904,712.3
42,42.0,1371,1371,0.30778,0.98684,0.00000,0.00000,0.15852,8.27,0.00,0.080,906,712.6
43,43.0,1425,1425,0.30871,0.98890,0.00000,0.00000,0.16352,8.27,0.00,0.080,909,713.4
44,44.0,1480,1480,0.30953,0.99067,0.00000,0.00000,0.16852,8.27,0.00,0.080,909,712.7
45,45.0,1553,1553,0.31037,0.99259,0.00000,0.00000,0.17352,8.27,0.00,0.081,909,712.0
46,46.0,1606,1606,0.31100,0.99373,0.00000,0.00000,0.17851,8.27,0.00,0.081,910,712.0
47,47.0,1673,1673,0.31164,0.99493,0.00000,0.00000,0.18351,8.27,0.00,0.081,911,712.1
48,48.0,1741,1742,0.31223,0.99592,0.00000,0.00000,0.18851,8.27,0.00,0.081,911,711.2
49,49.0,1818,1819,0.31279,0.99680,0.00000,0.00000,0.19350,8.27,0.00,0.082,912,711.1
50,50.0,1881,1882,0.31327,0.99738,0.00000,0.00000,0.19850,8.27,0.00,0.082,914,711.4
51,51.0,1949,1950,0.31366,0.99789,0.00000,0.00000,0.20350,8.27,0.00,0.082,910,710.2
52,52.0,2016,2017,0.31407,0.99829,0.00000,0.00000,0.20850,8.27,0.00,0.082,911,710.0
53,53.0,2085,2086,0.31448,0.99862,0.00000,0.00000,0.21350,8.27,0.00,0.083,912,709.5
54,54.0,2150,2151,0.31485,0.99888,0.00000,0.00000,0.21849,8.27,0.00,0.083,912,708.8
55,55.0,2202,2205,0.31521,0.99906,0.00000,0.00000,0.22349,8.27,0.00,0.083,914,709.3
56,56.0,2266,2269,0.31556,0.99923,0.00000,0.00000,0.22849,8.27,0.00,0.083,915,708.8
57,57.0,2318,2323,0.31590,0.99935,0.00000,0.00000,0.23349,8.27,0.00,0.084,917,709.3
58,58.0,2371,2377,0.31625,0.99945,0.00000,0.00000,0.23848,8.27,0.00,0.084,918,708.8
59,59.0,2434,2441,0.31652,0.99955,0.00000,0.00000,0.24348,8.27,0.00,0.084,916,707.7
60,60.0,2478,2485,0.31683,0.99961,0.00000,0.00000,0.24848,8.27,0.00,0.084,917,707.3
61,61.0,2534,2544,0.31715,0.99968,0.00000,0.00000,0.25348,8.27,0.00,0.085,918,707.0
62,62.0,2583,2595,0.31747,0.99972,0.00000,0.00000,0.25848,8.27,0.00,0.085,919,706.7
63,63.0,2642,2658,0.31776,0.99977,0.00000,0.00000,0.26348,8.27,0.00,0.085,919,705.7
64,64.0,2688,2704,0.31806,0.99980,0.00000,0.00000,0.26847,8.27,0.00,0.085,920,705.4
65,65.0,2736,2752,0.31835,0.99983,0.00000,0.00000,0.27347,8.27,0.00,0.085,921,705.2
66,66.0,2782,2804,0.31865,0.99986,0.00000,0.00000,0.27847,8.27,0.00,0.086,921,704.4
67,67.0,2822,2846,0.31894,0.99988,0.00000,0.00000,0.28347,8.27,0.00,0.086,922,704.1
68,68.0,2872,2896,0.31925,0.99989,0.00000,0.00000,0.28847,8.27,0.00,0.086,923,703.8
69,69.0,2911,2941,0.31955,0.99991,0.00000,0.00000,0.29347,8.27,0.00,0.086,923,702.9
70,70.0,2955,2990,0.31989,0.99992,0.00000,0.00000,0.29847,8.27,0.00,0.087,927,703.9
71,71.0,2993,3034,0.32013,0.99993,0.00000,0.00000,0.30346,8.27,0.00,0.087,924,702.1
72,72.0,3026,3072,0.32048,0.99994,0.00000,0.00000,0.30846,8.27,0.00,0.087,928,702.4
73,73.0,3056,3108,0.32078,0.99995,0.00000,0.00000,0.31346,8.27,0.00,0.087,929,702.5
74,74.0,3098,3156,0.32110,0.99995,0.00000,0.00000,0.31845,8.27,0.00,0.088,930,702.3
75,75.0,3153,3203,0.32139,0.99996,0.00000,0.00000,0.32345,8.27,0.00,0.088,930,701.9
76,76.0,3189,3250,0.32165,0.99997,0.00000,0.00000,0.32845,8.27,0.00,0.088,928,700.7
1,1.0,28,28,0.03176,0.08464,0.00000,0.00000,0.00118,8.27,0.00,0.159,188,157.0
2,2.0,30,30,0.03694,0.09041,0.00000,0.00000,0.00300,8.27,0.00,0.159,1068,259.4
3,3.0,32,32,0.03895,0.09613,0.00000,0.00000,0.00482,8.27,0.00,0.160,1078,260.1
4,4.0,34,34,0.04061,0.10183,0.00000,0.00000,0.00670,8.27,0.00,0.160,1088,268.1
5,5.0,38,38,0.04403,0.11310,0.00000,0.00000,0.00864,8.27,0.00,0.160,1106,275.1
6,6.0,42,42,0.04742,0.12424,0.00000,0.00000,0.01061,8.27,0.00,0.160,1118,281.4
7,7.0,44,44,0.04917,0.12975,0.00000,0.00000,0.01264,8.27,0.00,0.161,1138,288.9
8,8.0,46,46,0.05091,0.13523,0.00000,0.00000,0.01470,8.27,0.00,0.161,1148,293.1
9,9.0,49,49,0.05343,0.14339,0.00000,0.00000,0.01678,8.27,0.00,0.161,1151,296.2
10,10.0,51,51,0.05517,0.14878,0.00000,0.00000,0.01890,8.27,0.00,0.161,1159,301.7
11,11.0,53,53,0.05694,0.15414,0.00000,0.00000,0.02105,8.27,0.00,0.161,1177,306.1
12,12.0,56,56,0.05946,0.16212,0.00000,0.00000,0.02322,8.27,0.00,0.161,1187,309.5
13,13.0,59,59,0.06197,0.17002,0.00000,0.00000,0.02542,8.27,0.00,0.162,1191,313.2
14,14.0,61,61,0.06370,0.17525,0.00000,0.00000,0.02765,8.27,0.00,0.162,1203,317.7
15,15.0,63,63,0.06542,0.18044,0.00000,0.00000,0.02990,8.27,0.00,0.162,1213,320.8
16,16.0,66,66,0.06788,0.18817,0.00000,0.00000,0.03217,8.27,0.00,0.162,1224,324.5
17,17.0,66,66,0.06810,0.18817,0.00000,0.00000,0.03447,8.27,0.00,0.162,1229,327.8
18,18.0,68,68,0.06975,0.19328,0.00000,0.00000,0.03677,8.27,0.00,0.162,1229,327.7
19,19.0,69,69,0.07072,0.19583,0.00000,0.00000,0.03909,8.27,0.00,0.163,1247,332.2
20,20.0,69,69,0.07088,0.19583,0.00000,0.00000,0.04142,8.27,0.00,0.163,1248,332.7
21,21.0,70,70,0.07177,0.19836,0.00000,0.00000,0.04375,8.27,0.00,0.163,1248,332.5
22,22.0,70,70,0.07192,0.19836,0.00000,0.00000,0.04609,8.27,0.00,0.163,1253,334.4
23,23.0,73,73,0.07429,0.20592,0.00000,0.00000,0.04843,8.27,0.00,0.163,1253,334.1
24,24.0,75,75,0.07606,0.21092,0.00000,0.00000,0.05081,8.27,0.00,0.163,1280,340.6
25,25.0,77,77,0.07769,0.21589,0.00000,0.00000,0.05320,8.27,0.00,0.164,1282,341.7
26,26.0,78,78,0.07860,0.21837,0.00000,0.00000,0.05561,8.27,0.00,0.164,1293,345.0
27,27.0,79,79,0.07954,0.22083,0.00000,0.00000,0.05804,8.27,0.00,0.164,1303,347.6
28,28.0,79,79,0.07971,0.22083,0.00000,0.00000,0.06047,8.27,0.00,0.164,1304,348.0
29,29.0,80,80,0.08059,0.22329,0.00000,0.00000,0.06289,8.27,0.00,0.164,1304,347.7
30,30.0,80,80,0.08081,0.22329,0.00000,0.00000,0.06534,8.27,0.00,0.164,1315,350.9
31,31.0,82,82,0.08241,0.22818,0.00000,0.00000,0.06779,8.27,0.00,0.164,1315,350.6
