step,t_min,burning,burned,j_total,j_physical,j_burn,j_asset,j_pop,j_resp,wws_mean,prec_mean,fmoist_mean,alloc_cells,alloc_rcap_sum
1,1.0,0,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,7.40,0.00,0.062,0,0.0
2,2.0,71,71,0.04856,0.05506,0.16519,0.00000,0.00000,0.00000,7.40,0.00,0.062,0,0.0
3,3.0,296,296,0.16931,0.17630,0.52891,0.00000,0.00000,0.00241,7.40,0.00,0.062,486,168.7
4,4.0,661,661,0.25135,0.27126,0.81379,0.00000,0.00000,0.00572,7.40,0.00,0.062,579,209.9
5,5.0,950,950,0.27748,0.30357,0.91070,0.00000,0.00000,0.01072,7.40,0.00,0.063,672,283.1
6,6.0,1118,1118,0.28716,0.31392,0.94175,0.00000,0.00000,0.01571,7.40,0.00,0.063,430,273.5
7,7.0,1231,1231,0.29094,0.31950,0.95630,0.00220,0.00001,0.02071,7.40,0.00,0.063,387,269.2
8,8.0,1306,1308,0.29270,0.32210,0.96407,0.00220,0.00002,0.02570,7.40,0.00,0.064,356,264.2
9,9.0,1384,1386,0.29439,0.32426,0.97053,0.00220,0.00005,0.03069,7.40,0.00,0.064,339,263.9
10,10.0,1449,1452,0.29565,0.32579,0.97509,0.00220,0.00010,0.03568,7.40,0.00,0.064,327,263.8
11,11.0,1579,1582,0.29903,0.32966,0.98210,0.00671,0.00017,0.04068,7.40,0.00,0.065,319,263.9
12,12.0,1723,1726,0.30204,0.33303,0.98759,0.01123,0.00026,0.04567,7.40,0.00,0.065,312,263.3
13,13.0,1831,1839,0.30310,0.33413,0.99069,0.01123,0.00047,0.05066,7.40,0.00,0.065,310,263.2
14,14.0,1915,1923,0.30457,0.33554,0.99248,0.01343,0.00071,0.05564,7.40,0.00,0.066,310,263.2
15,15.0,2033,2041,0.30546,0.33628,0.99443,0.01343,0.00098,0.06063,7.40,0.00,0.066,310,263.2
16,16.0,2121,2129,0.30612,0.33675,0.99555,0.01343,0.00127,0.06562,7.40,0.00,0.066,310,263.2
17,17.0,2196,2204,0.30670,0.33711,0.99632,0.01343,0.00158,0.07061,7.40,0.00,0.062,310,263.2
18,18.0,2308,2316,0.30310,0.33752,0.99723,0.01343,0.00191,0.00371,7.40,0.00,0.062,310,263.2
19,19.0,2420,2441,0.30497,0.33790,0.99799,0.01343,0.00229,0.00670,7.40,0.00,0.066,4550,3315.8
20,20.0,2495,2516,0.30538,0.33815,0.99834,0.01343,0.00267,0.00982,7.40,0.00,0.066,4678,3461.4
21,21.0,2561,2584,0.30840,0.34136,0.99860,0.02237,0.00309,0.01302,7.40,0.00,0.066,4782,3548.5
22,22.0,2619,2643,0.30881,0.34157,0.99879,0.02237,0.00355,0.01641,7.40,0.00,0.066,5029,3764.9
23,23.0,2723,2747,0.30925,0.34182,0.99907,0.02237,0.00402,0.01988,7.40,0.00,0.066,5132,3845.6
24,24.0,2802,2826,0.30966,0.34204,0.99924,0.02237,0.00449,0.02346,7.40,0.00,0.066,5304,3974.7
25,25.0,2867,2891,0.31008,0.34224,0.99936,0.02237,0.00499,0.02711,7.40,0.00,0.067,5415,4058.1
