step;t_min;region;story;stage_tried;stage_accepted;fired_rules;suppression;deployment;containment;protection;evacuation;warning;quality;gate_min;J_forecast;J_noaction;attended
10;10;Agent_1;RL selected stage 3 [GenAI] (deficit bucket: mid) → ACCEPTED: G1: G1: IF asset exposure risk is VH AND intervention urgency is VL THEN asset protection 0.8, resource deployment 0.4 (adaptation-born: generative (template), gates G1-G4);3;3;R7[0.27] R20[0.19] G1[0.38];0.00;0.34;0.16;0.56;0.00;0.00;0.77;0.00;0.3088;0.3225;1
11;11;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.27] R20[0.23] R26[0.04] G1[0.30];0.04;0.38;0.16;0.49;0.00;0.00;0.64;0.12;0.3126;0.3215;1
12;12;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.27] R20[0.26] R26[0.08] G1[0.24];0.08;0.41;0.16;0.44;0.00;0.00;0.63;0.12;0.3161;0.3370;1
13;13;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.27] R20[0.28] R26[0.11] G1[0.19];0.11;0.44;0.16;0.40;0.00;0.00;0.63;0.12;0.3116;0.3441;1
14;14;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.27] R20[0.30] R26[0.13] G1[0.15];0.13;0.46;0.16;0.37;0.00;0.00;0.63;0.12;0.3139;0.3474;1
15;15;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.27] R20[0.31] R26[0.14] G1[0.12];0.14;0.47;0.16;0.34;0.00;0.00;0.63;0.12;0.3109;0.3257;1
16;16;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.27] R20[0.32] R26[0.16] G1[0.09];0.16;0.48;0.16;0.32;0.00;0.00;0.62;0.12;0.3107;0.3260;1
17;17;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.27] R20[0.33] R26[0.17] G1[0.07];0.17;0.49;0.16;0.31;0.00;0.00;0.62;0.12;0.3108;0.3243;1
18;18;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.27] R20[0.34] R26[0.17] G1[0.06];0.17;0.50;0.16;0.29;0.00;0.00;0.62;0.12;0.3111;0.3240;1
19;19;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.27] R20[0.34] R26[0.18] G1[0.05];0.18;0.50;0.16;0.28;0.00;0.00;0.62;0.12;0.3154;0.3403;1
20;20;Agent_1;RL selected stage 2 [resolution increase] (deficit bucket: mid) → ACCEPTED: A1: A1: IF asset exposure risk is VH AND suppression feasibility is VH THEN asset protection 0.9, evacuation 0.7 (adaptation-born: resolution increase (instantiated antecedent cell));2;2;R7[0.27] R20[0.34] R26[0.19] G1[0.04] A1[0.68];0.19;0.51;0.16;0.86;0.47;0.00;0.88;0.11;0.3108;0.3263;1
21;21;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.27] R20[0.35] R26[0.19] G1[0.03] A1[0.68];0.19;0.51;0.16;0.85;0.47;0.00;0.88;0.11;0.3104;0.3237;1
22;22;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.27] R20[0.35] R26[0.19] G1[0.02] A1[0.68];0.19;0.51;0.16;0.85;0.47;0.00;0.88;0.11;0.3129;0.3367;1
23;23;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.27] R20[0.35] R26[0.19] G1[0.02] A1[0.68];0.19;0.51;0.16;0.84;0.47;0.00;0.88;0.11;0.3117;0.3255;1
24;24;Agent_1;orders came from the seed rule base (rules as-is);0;0;R7[0.27] R20[0.35] R26[0.19] G1[0.02] A1[0.68];0.19;0.51;0.16;0.84;0.47;0.00;0.88;0.11;0.3121;0.3253;1
